,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-08-25 00:00:00+02:00,362.3125,6488.375,154.1875,380.625,291.4375,0.0,-126.4375,42.5,10.375,4.8125,0.0,390.0,126.5,1222.5
2021-08-25 01:00:00+02:00,361.375,6359.5625,155.75,370.8125,291.0625,0.0,-338.6875,42.4375,11.0625,5.25,0.0,432.0625,188.25,859.0
2021-08-25 02:00:00+02:00,361.1875,6169.75,155.0625,322.3125,290.75,0.0,-739.625,42.4375,10.75,5.0,0.0,433.125,281.5,568.5
2021-08-25 03:00:00+02:00,361.6875,6230.9375,157.375,312.375,290.75,0.0,-734.5,42.3125,11.6875,5.4375,0.0,427.9375,391.0,491.0
2021-08-25 04:00:00+02:00,360.8125,6248.5,177.3125,341.3125,290.75,0.0,-590.1875,42.25,19.3125,9.0,0.0,433.9375,502.5,624.75
2021-08-25 05:00:00+02:00,362.3125,6416.625,177.625,385.375,290.875,0.0,-357.9375,42.4375,19.3125,9.0,0.0,436.9375,621.5,880.0
2021-08-25 06:00:00+02:00,361.375,6604.5625,179.0625,408.5,290.75,0.0,91.0625,42.25,19.8125,9.1875,193.75,435.6875,746.5,1163.5
2021-08-25 07:00:00+02:00,364.25,6674.9375,202.1875,416.6875,294.5,0.0,1062.0,42.5,28.75,13.25,1199.0,433.9375,842.25,1419.75
2021-08-25 08:00:00+02:00,364.875,6652.5,205.625,415.125,296.625,0.0,1040.5,42.6875,30.0625,13.875,3075.5,431.0625,933.0,1492.25
2021-08-25 09:00:00+02:00,363.9375,6656.8125,199.5,409.4375,297.375,0.0,670.125,42.5,26.25,11.9375,5003.0,418.5,999.25,1669.25
2021-08-25 10:00:00+02:00,363.3125,6588.125,190.0625,366.75,297.1875,0.0,209.3125,42.5625,21.6875,9.8125,6363.75,420.5,1018.0,2132.0
2021-08-25 11:00:00+02:00,363.0,6458.6875,184.4375,307.6875,296.3125,0.0,47.5,42.3125,20.0625,9.0,6996.5,421.4375,1021.25,2874.75
2021-08-25 12:00:00+02:00,364.875,6404.625,175.3125,261.5,294.9375,0.0,-233.5,42.5,18.875,8.5,7125.25,421.875,1020.25,3774.25
2021-08-25 13:00:00+02:00,364.3125,6296.4375,166.75,257.375,295.125,0.0,-398.8125,42.6875,15.6875,7.125,6844.75,414.625,1015.25,4760.75
2021-08-25 14:00:00+02:00,359.75,6207.25,170.6875,254.1875,293.625,0.0,-449.4375,42.25,16.9375,7.75,6212.25,406.3125,1008.25,5832.25
2021-08-25 15:00:00+02:00,363.75,6241.8125,152.4375,247.125,292.3125,0.0,-443.1875,42.5625,9.75,4.4375,5285.75,415.875,991.75,6632.0
2021-08-25 16:00:00+02:00,365.8125,6282.4375,141.625,250.625,291.6875,0.0,-229.6875,42.75,4.9375,2.1875,4012.5,420.5,974.75,7156.5
2021-08-25 17:00:00+02:00,367.1666666666667,6671.666666666667,135.91666666666666,318.0833333333333,291.5833333333333,0.0,175.33333333333334,42.833333333333336,3.5,1.6666666666666667,2508.5,430.4166666666667,942.25,7317.25
2021-08-25 18:00:00+02:00,367.9166666666667,6733.083333333333,169.5,336.0833333333333,292.0,0.0,535.4166666666666,42.916666666666664,9.75,4.583333333333333,1137.0,431.6666666666667,871.25,7211.0
2021-08-25 19:00:00+02:00,367.0,6732.333333333333,183.16666666666666,318.6666666666667,292.4166666666667,0.0,985.8333333333334,42.916666666666664,10.0,4.666666666666667,317.5,434.3333333333333,744.5,7189.0
2021-08-25 20:00:00+02:00,366.6666666666667,6713.916666666667,183.83333333333334,304.6666666666667,293.0,0.0,1086.25,42.916666666666664,10.0,4.666666666666667,21.5,431.75,598.25,7264.5
2021-08-25 21:00:00+02:00,367.0833333333333,6708.083333333333,178.16666666666666,303.0,293.9166666666667,0.0,966.75,43.0,10.0,4.666666666666667,0.0,433.5833333333333,486.25,7287.5
2021-08-25 22:00:00+02:00,363.75,6597.583333333333,153.75,295.6666666666667,293.8333333333333,0.0,555.9166666666666,42.5,10.083333333333334,4.666666666666667,0.0,429.1666666666667,428.5,7154.0
2021-08-25 23:00:00+02:00,363.5833333333333,6509.333333333333,152.08333333333334,270.1666666666667,293.6666666666667,0.0,94.0,42.583333333333336,10.083333333333334,4.666666666666667,0.0,433.1666666666667,399.75,7013.5
