,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-11-04 00:00:00+01:00,4373.75,12460.75,7327.25,12026.5,283.25,22.0,-2647.25,1133.25,42.25,8021.75,348.0,153.75,0.0,946.25,234.0,2360.5
2021-11-04 01:00:00+01:00,4370.5,12489.5,6542.5,11670.0,283.5,22.0,-3604.0,1137.25,46.0,8022.5,348.0,153.25,0.0,946.25,208.0,2558.5
2021-11-04 02:00:00+01:00,4369.75,12488.75,6365.5,11509.0,283.0,22.0,-4143.75,1135.75,19.5,8028.0,348.0,153.0,0.0,928.5,207.5,2814.0
2021-11-04 03:00:00+01:00,4356.25,12473.75,6181.5,11275.5,283.0,22.0,-4166.25,1122.5,22.75,8028.75,347.75,153.75,0.0,923.25,325.0,3247.75
2021-11-04 04:00:00+01:00,4342.25,12491.75,6579.25,11525.25,283.25,22.0,-3764.75,1129.0,23.25,7912.5,351.0,157.0,0.0,854.0,303.25,3892.0
2021-11-04 05:00:00+01:00,4344.5,12600.75,7294.25,11820.75,283.25,22.0,-3374.25,1142.75,22.0,7832.5,369.0,165.0,0.0,834.75,360.5,4641.25
2021-11-04 06:00:00+01:00,4346.0,12626.25,8684.25,12002.0,283.25,22.0,-1416.75,1157.5,48.25,7832.0,373.0,167.0,0.0,835.5,484.25,5591.75
2021-11-04 07:00:00+01:00,4355.5,12657.0,9185.25,12018.0,283.5,22.0,2119.5,1184.5,204.25,7790.0,373.0,167.0,130.0,837.75,565.0,6893.75
2021-11-04 08:00:00+01:00,4353.25,12603.25,9491.5,12169.0,280.75,22.0,3805.5,1190.25,265.0,7820.75,379.75,167.0,739.5,834.5,678.0,7706.5
2021-11-04 09:00:00+01:00,4359.25,12567.75,9473.75,12150.0,279.0,22.0,3734.25,1207.0,204.25,7834.25,386.25,167.0,1879.0,826.75,821.75,8434.5
2021-11-04 10:00:00+01:00,4351.5,12561.5,9388.0,12078.0,279.5,22.0,2152.5,1203.75,82.5,7840.75,390.75,167.0,2909.75,827.0,1038.0,9468.5
2021-11-04 11:00:00+01:00,4352.5,12561.0,9214.0,12173.0,279.5,22.0,1578.0,1203.75,102.25,7837.5,390.5,167.0,3831.75,830.75,1114.5,11600.25
2021-11-04 12:00:00+01:00,4359.75,12568.5,8258.5,12049.5,279.0,22.0,164.25,1210.5,81.0,7825.0,390.25,167.0,4012.25,825.25,1173.75,14444.75
2021-11-04 13:00:00+01:00,4370.25,12574.75,8063.25,11930.25,279.25,22.0,222.25,1205.75,58.75,7771.0,391.0,167.0,3565.0,840.0,1296.75,17352.75
2021-11-04 14:00:00+01:00,4381.25,12596.5,7703.75,11757.5,279.0,22.0,-319.5,1211.0,26.0,7627.5,400.0,176.0,2685.5,908.0,1602.75,19654.75
2021-11-04 15:00:00+01:00,4397.5,12622.5,7719.25,11478.75,280.0,22.0,-906.75,1198.5,16.0,7589.5,414.5,186.0,1408.75,895.0,2177.25,21356.5
2021-11-04 16:00:00+01:00,4418.25,12659.75,7790.5,10839.25,279.0,22.0,-194.5,1199.25,28.0,7602.0,411.0,186.0,252.75,904.75,2769.25,22370.0
2021-11-04 17:00:00+01:00,4429.75,12186.75,8419.5,11163.75,276.25,22.0,2483.0,1212.25,92.5,7611.75,411.0,186.0,0.5,886.25,3019.75,23176.5
2021-11-04 18:00:00+01:00,4432.75,11979.0,8070.75,10984.25,275.0,22.0,1601.0,1206.0,45.25,7710.75,408.0,184.0,0.0,880.25,3133.5,23595.0
2021-11-04 19:00:00+01:00,4417.5,11463.25,7510.5,10010.5,275.25,22.0,541.5,1201.75,21.75,7795.75,404.25,182.5,0.0,874.5,3190.75,23359.75
2021-11-04 20:00:00+01:00,4413.25,11263.0,5861.5,9038.0,275.25,22.0,-770.25,1196.0,24.75,7803.0,370.25,167.0,0.0,872.0,3316.5,22972.25
2021-11-04 21:00:00+01:00,4404.0,11328.75,5000.25,7897.25,278.5,22.0,-1000.0,1199.5,24.75,7803.5,363.0,164.0,0.0,877.0,3101.0,21689.0
2021-11-04 22:00:00+01:00,4397.5,11466.75,4551.5,8202.0,279.25,22.0,-1480.75,1213.0,19.5,7802.0,343.75,154.25,0.0,877.5,2827.75,19786.5
2021-11-04 23:00:00+01:00,4382.75,11565.0,3837.5,7609.0,282.0,22.0,-3597.75,1222.25,40.0,7796.25,343.0,154.25,0.0,882.5,2903.0,18571.75
