,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-11-18 00:00:00+01:00,4421.75,13309.25,3153.25,6488.5,273.0,22.0,-4103.0,1135.5,98.75,7766.0,360.0,152.0,0.0,832.75,6072.25,18960.5
2021-11-18 01:00:00+01:00,4412.75,12580.5,3294.5,5639.25,274.5,22.0,-4771.5,1134.25,132.25,7771.0,366.0,156.25,0.0,822.0,5695.5,19081.75
2021-11-18 02:00:00+01:00,4408.75,12081.0,3280.75,5766.75,273.25,22.0,-4145.5,1132.0,82.5,7778.75,364.0,157.0,0.0,815.5,5386.75,18603.0
2021-11-18 03:00:00+01:00,4392.75,12810.75,3294.0,6782.0,273.0,22.0,-3876.5,1124.0,85.5,7790.25,363.5,157.0,0.0,819.5,5338.75,18707.5
2021-11-18 04:00:00+01:00,4372.0,13535.5,3337.25,7357.0,273.0,22.0,-4280.75,1112.25,49.25,7818.0,364.0,157.0,0.0,810.25,5204.0,19234.5
2021-11-18 05:00:00+01:00,4373.5,13763.25,3532.5,7960.75,283.0,22.0,-3453.5,1102.0,91.5,7766.0,367.5,158.75,0.0,799.0,5317.5,19034.0
2021-11-18 06:00:00+01:00,4379.25,13783.0,4458.25,9149.0,371.0,22.0,1181.5,1089.5,93.5,7785.25,416.0,181.25,0.0,785.5,5421.0,19102.0
2021-11-18 07:00:00+01:00,4392.75,13775.5,5218.5,9639.0,369.5,22.0,4420.5,1080.25,130.75,7822.5,441.0,192.75,43.0,789.25,5467.75,19364.0
2021-11-18 08:00:00+01:00,4410.0,13815.0,5357.0,9805.0,441.0,22.0,4419.0,1082.0,141.0,7825.0,442.0,193.0,345.0,790.0,5506.0,19562.0
