,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-08-03 00:00:00+02:00,4053.75,11435.25,2506.5,3352.0,297.0,20.0,-228.25,2056.25,215.25,7950.0,252.0,117.0,0.0,957.0,516.5,3342.5
2021-08-03 01:00:00+02:00,4050.25,11517.75,2351.75,3501.5,296.0,20.0,-54.0,2060.75,245.5,7950.75,256.0,117.0,0.0,957.0,500.0,2914.5
2021-08-03 02:00:00+02:00,4040.5,11517.5,2368.25,3290.75,296.75,20.0,-1569.25,2063.75,208.5,7955.5,260.0,117.0,0.0,945.5,667.0,2562.5
2021-08-03 03:00:00+02:00,4022.25,11524.0,2430.0,3410.25,296.0,20.0,-1981.5,2062.75,200.0,7949.5,260.0,117.0,0.0,955.0,681.0,2197.5
2021-08-03 04:00:00+02:00,4009.5,11542.0,2842.25,3732.0,297.0,20.0,-1902.5,2055.75,197.0,7954.25,260.0,117.0,0.0,956.5,713.0,1970.5
2021-08-03 05:00:00+02:00,3999.25,11428.5,3015.25,4532.0,296.0,20.0,-841.25,2053.25,208.5,7953.75,260.0,117.0,29.5,912.0,673.5,1825.0
2021-08-03 06:00:00+02:00,4000.25,11531.25,3367.5,5731.5,296.0,20.0,672.5,2045.5,301.75,7970.25,260.0,117.0,1057.5,911.75,568.5,1640.75
2021-08-03 07:00:00+02:00,4018.0,11455.75,4433.0,6398.0,296.75,20.0,1853.75,2039.0,276.0,7975.5,260.0,117.0,4490.5,913.25,417.5,1343.75
2021-08-03 08:00:00+02:00,4035.75,11632.25,4858.0,6832.5,296.0,20.0,1657.5,2042.25,330.25,7975.0,260.0,117.0,9501.5,912.75,268.5,1096.0
2021-08-03 09:00:00+02:00,4054.0,11602.25,4669.25,6749.5,299.0,20.0,1069.5,2052.5,395.75,7967.0,260.0,117.0,14323.5,910.25,272.25,958.25
2021-08-03 10:00:00+02:00,4053.5,11605.25,4110.25,6622.0,296.0,20.0,571.75,2062.5,330.5,7954.25,260.0,117.0,17697.25,914.5,216.0,1052.25
2021-08-03 11:00:00+02:00,4062.25,11519.0,4264.25,6573.5,296.0,20.0,626.25,2074.75,406.25,7941.75,260.0,117.0,19061.25,913.5,155.5,1072.75
2021-08-03 12:00:00+02:00,4074.5,11365.5,4252.5,6381.25,296.0,20.0,163.25,2090.5,208.0,7934.0,260.0,117.0,19893.75,908.25,117.5,1428.25
2021-08-03 13:00:00+02:00,4082.25,11587.0,3613.5,5960.5,296.0,20.0,-451.0,2085.0,100.0,7923.0,260.0,117.0,20043.75,896.25,87.75,1554.75
2021-08-03 14:00:00+02:00,4076.5,11489.0,3499.25,5854.0,296.0,20.0,-970.0,2086.25,193.75,7928.0,260.0,117.0,19938.25,913.25,89.5,1549.75
2021-08-03 15:00:00+02:00,4069.5,11590.25,3526.25,5644.25,297.0,20.0,-1114.75,2100.75,168.75,7918.0,260.0,117.0,17922.5,691.0,136.0,2017.5
2021-08-03 16:00:00+02:00,4058.5,11739.5,3846.0,6230.0,296.5,20.0,904.25,2102.5,404.25,7913.0,260.0,117.0,14007.75,933.25,108.25,2004.5
2021-08-03 17:00:00+02:00,4056.25,11720.0,4630.25,6958.75,297.5,20.0,1176.25,2085.5,299.25,7913.25,260.0,117.0,9859.25,935.75,85.75,2010.25
2021-08-03 18:00:00+02:00,4065.75,11713.25,4894.25,7384.5,297.25,20.0,1792.5,2074.5,354.5,7916.5,260.0,117.0,5753.5,933.5,68.75,2249.75
2021-08-03 19:00:00+02:00,4069.25,11659.75,4938.25,7299.5,295.0,20.0,2021.25,2065.75,397.5,7920.75,260.0,117.0,2387.0,941.75,74.75,2265.0
2021-08-03 20:00:00+02:00,4074.0,11699.25,4942.5,7183.25,295.0,20.0,2264.5,2074.5,364.0,7924.25,260.0,117.0,463.25,943.5,39.25,2227.5
2021-08-03 21:00:00+02:00,4071.25,11639.0,4999.75,7024.5,295.0,20.0,2421.75,2084.25,294.75,7918.5,260.0,117.0,4.25,937.0,32.5,2293.0
2021-08-03 22:00:00+02:00,4070.5,11627.5,4261.25,6693.0,295.0,20.0,1940.5,2087.75,231.5,7924.5,260.0,117.0,0.0,924.75,32.5,2457.75
2021-08-03 23:00:00+02:00,4072.0,11659.5,3136.25,6014.5,295.0,20.0,638.0,2088.5,235.0,7928.0,260.0,117.0,0.0,937.0,21.5,2644.5
