,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-11-11 00:00:00+01:00,4424.0,14084.75,8408.25,11352.5,281.0,22.0,-1742.5,1095.25,45.25,8041.75,424.25,189.0,0.0,904.25,514.0,1657.0
2021-11-11 01:00:00+01:00,4428.5,13800.75,8192.25,11022.25,281.0,22.0,-2227.5,1106.25,87.0,8043.75,414.0,184.0,0.0,907.75,572.25,1669.25
2021-11-11 02:00:00+01:00,4420.5,13476.5,8245.0,10950.0,281.0,22.0,-2233.25,1110.75,243.25,8046.5,414.0,184.0,0.0,909.5,612.25,1629.0
2021-11-11 03:00:00+01:00,4404.0,13636.0,8241.0,10719.75,282.75,22.0,-2954.0,1111.25,188.0,8053.25,420.25,187.25,0.0,902.5,656.5,1558.5
2021-11-11 04:00:00+01:00,4402.25,13665.5,8232.75,10869.25,292.25,22.0,-3462.0,1111.0,189.75,8059.5,426.0,190.0,0.0,887.5,799.5,1608.25
2021-11-11 05:00:00+01:00,4402.5,13634.5,9104.75,11099.0,292.75,22.0,-2353.5,1109.25,225.5,8058.75,426.0,190.0,0.0,886.75,676.75,2062.75
2021-11-11 06:00:00+01:00,4386.5,13853.25,10397.5,11798.5,285.25,22.0,31.0,1103.25,268.0,8056.25,426.0,190.0,0.0,889.25,481.5,2456.0
2021-11-11 07:00:00+01:00,4406.75,14075.5,10851.75,11981.5,285.0,22.0,1705.75,1110.5,273.5,8058.0,432.0,192.75,216.5,902.25,553.0,2876.0
2021-11-11 08:00:00+01:00,4409.0,14243.5,10980.5,12044.0,285.0,22.0,1599.75,1103.0,160.5,8063.25,432.0,193.0,2860.75,893.0,975.0,3201.5
2021-11-11 09:00:00+01:00,4409.5,14390.5,10885.25,12011.25,285.25,22.0,780.75,1098.0,185.75,8053.5,430.75,192.0,7096.25,894.75,1106.0,3235.75
2021-11-11 10:00:00+01:00,4395.25,14384.25,10953.0,12005.25,287.0,22.0,887.25,1095.0,210.5,8041.5,462.5,190.25,10684.5,898.5,1359.5,2904.25
2021-11-11 11:00:00+01:00,4396.75,14287.5,11044.75,11956.5,283.5,22.0,661.25,1094.25,188.25,8045.0,447.75,182.25,12621.25,895.5,1772.0,2582.5
2021-11-11 12:00:00+01:00,4418.0,14250.0,11041.0,11888.25,279.75,22.0,63.75,1102.5,223.25,8041.0,438.75,176.75,12647.0,923.5,2084.0,2391.75
2021-11-11 13:00:00+01:00,4420.0,14290.5,11150.0,11886.25,279.0,22.0,-438.0,1102.0,71.75,8033.5,442.0,176.0,10736.75,927.75,2249.25,2486.5
2021-11-11 14:00:00+01:00,4414.25,14231.25,11097.25,11728.5,279.0,22.0,756.25,1107.5,315.0,8034.0,448.5,177.5,7255.0,928.25,2013.75,2701.5
2021-11-11 15:00:00+01:00,4434.75,14358.75,11063.75,11729.0,279.0,22.0,1798.0,1108.5,245.0,8038.5,483.75,192.0,2910.5,931.5,1642.75,2605.0
2021-11-11 16:00:00+01:00,4444.75,14552.0,10938.0,11832.5,316.75,22.0,2188.75,1111.0,209.75,8037.75,485.25,192.0,247.0,961.25,1232.75,2416.5
2021-11-11 17:00:00+01:00,4448.5,14632.5,11561.25,11849.5,525.75,22.0,3317.0,1103.75,286.5,8025.5,486.0,192.0,0.0,962.0,820.75,2488.0
2021-11-11 18:00:00+01:00,4455.75,14633.0,11429.25,11869.75,613.75,22.0,3080.25,1094.75,227.25,8031.25,486.0,192.0,0.0,959.75,673.75,2218.75
2021-11-11 19:00:00+01:00,4448.25,14573.75,11270.75,11886.75,317.25,22.0,3020.5,1093.5,123.25,8031.5,483.75,192.0,0.0,944.0,732.0,2066.5
2021-11-11 20:00:00+01:00,4450.25,14361.5,11010.75,11862.75,279.0,22.0,2317.5,1089.25,17.75,8031.5,482.5,192.0,0.0,916.75,865.5,2024.5
2021-11-11 21:00:00+01:00,4437.5,14069.5,10784.25,11862.0,279.0,22.0,772.5,1088.0,32.0,8027.75,486.0,192.0,0.0,920.75,901.25,2085.0
2021-11-11 22:00:00+01:00,4426.5,14048.0,10041.25,11956.25,279.0,22.0,-163.0,1089.75,34.0,8022.0,471.0,185.25,0.0,924.25,1030.75,1895.75
2021-11-11 23:00:00+01:00,4411.5,13791.5,9044.5,11925.0,279.5,22.0,-942.0,1094.0,57.75,8016.75,456.75,178.5,0.0,914.75,1051.5,1761.5
