,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-08-11 00:00:00+02:00,373.75,7183.25,208.0,139.5,296.0,0.0,-298.75,44.0,30.0,14.0,0.0,434.75,132.0,1272.25
2021-08-11 01:00:00+02:00,373.75,7042.5,207.0,132.0,295.0,0.0,-241.75,44.0,30.0,14.0,0.0,437.25,174.5,1437.25
2021-08-11 02:00:00+02:00,374.75,6840.0,207.0,133.0,294.0,0.0,-670.5,44.0,30.0,14.0,0.0,436.25,196.5,1990.25
2021-08-11 03:00:00+02:00,376.0,6811.0,216.75,131.25,294.0,0.0,-914.75,44.0,33.75,15.75,0.0,424.5,283.0,2160.5
2021-08-11 04:00:00+02:00,375.0,7018.25,298.25,134.0,294.0,0.0,-711.25,44.0,64.25,30.0,0.0,421.75,260.0,1993.5
2021-08-11 05:00:00+02:00,375.75,7063.5,298.5,152.75,294.5,0.0,-144.0,44.0,64.25,30.0,7.25,424.25,208.0,1711.0
2021-08-11 06:00:00+02:00,375.25,7209.5,299.25,226.0,294.0,0.0,-3.25,44.0,64.25,30.0,308.75,428.25,187.75,1255.5
2021-08-11 07:00:00+02:00,376.25,7372.0,297.5,242.0,294.25,0.0,1290.5,44.0,64.25,30.0,1425.0,420.75,253.25,682.25
2021-08-11 08:00:00+02:00,375.25,7393.25,297.0,244.5,294.0,0.0,749.5,44.0,64.0,30.0,3189.25,408.5,227.25,502.75
2021-08-11 09:00:00+02:00,376.0,7426.5,295.75,213.25,292.75,0.0,486.25,44.0,64.0,29.25,4970.0,372.0,233.0,546.0
2021-08-11 10:00:00+02:00,377.25,7303.0,294.75,147.0,292.0,0.0,252.5,44.25,63.75,29.0,6476.0,391.5,241.25,638.5
2021-08-11 11:00:00+02:00,379.0,7226.0,295.25,142.5,292.75,0.0,258.25,44.0,63.75,29.0,7522.75,417.5,269.75,812.5
2021-08-11 12:00:00+02:00,378.75,7223.75,294.0,145.5,292.0,0.0,99.0,44.0,63.0,29.0,7957.5,418.75,251.75,874.5
2021-08-11 13:00:00+02:00,378.5,7227.75,273.75,135.0,291.75,0.0,-182.0,44.0,55.5,25.5,7804.5,416.25,242.75,1176.75
2021-08-11 14:00:00+02:00,375.75,7215.75,242.25,142.0,290.5,0.0,-206.5,44.0,43.25,20.0,7119.25,411.0,328.25,1249.75
2021-08-11 15:00:00+02:00,377.25,7227.75,210.25,125.5,290.75,0.0,-220.25,44.0,30.75,14.25,6527.25,411.5,380.75,1227.5
2021-08-11 16:00:00+02:00,378.75,7180.75,180.0,129.0,292.0,0.0,-4.0,44.0,19.25,8.75,5740.75,420.75,349.25,1110.5
2021-08-11 17:00:00+02:00,378.5,7301.25,156.75,142.0,292.0,0.0,146.5,44.0,10.5,5.0,4340.0,422.25,344.75,820.25
2021-08-11 18:00:00+02:00,380.25,7403.75,257.5,178.5,292.25,0.0,652.0,44.25,29.25,13.75,2336.5,419.75,410.5,654.75
2021-08-11 19:00:00+02:00,376.5,7428.0,299.5,147.75,292.75,0.0,1388.75,44.0,30.0,14.0,773.5,430.5,412.25,252.5
2021-08-11 20:00:00+02:00,375.75,7427.5,300.25,145.25,294.0,0.0,1661.25,44.0,30.0,14.0,94.75,422.75,303.75,176.25
2021-08-11 21:00:00+02:00,377.5,7466.0,283.25,146.5,294.0,0.0,1619.5,44.0,30.0,14.0,0.0,431.75,265.0,73.5
2021-08-11 22:00:00+02:00,374.5,7450.25,209.0,137.5,294.0,0.0,1361.25,44.0,30.0,14.0,0.0,421.25,239.5,67.0
2021-08-11 23:00:00+02:00,374.75,7255.75,204.0,96.5,295.0,0.0,293.0,44.0,30.0,14.0,0.0,433.75,165.0,105.25
