,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-08-10 00:00:00+02:00,371.75,6893.75,203.0,79.75,301.25,0.0,-4.75,43.5,30.0,14.0,0.0,457.75,177.25,1952.25
2021-08-10 01:00:00+02:00,371.25,6897.0,203.0,82.5,300.75,0.0,-814.0,43.25,30.0,14.0,0.0,463.75,237.25,1906.0
2021-08-10 02:00:00+02:00,373.0,6729.0,202.5,83.75,302.0,0.0,-814.0,43.75,30.0,14.0,0.0,463.25,258.5,1884.5
2021-08-10 03:00:00+02:00,373.5,6716.75,207.25,82.5,301.5,0.0,-813.0,44.0,31.5,14.75,0.0,460.75,247.5,2021.25
2021-08-10 04:00:00+02:00,367.75,6913.25,291.25,84.0,301.0,0.0,-807.0,43.0,63.25,28.75,0.0,463.25,176.75,2148.5
2021-08-10 05:00:00+02:00,371.5,6937.5,293.0,95.0,299.0,0.0,-550.5,43.5,64.0,29.0,8.5,463.5,109.0,2204.5
2021-08-10 06:00:00+02:00,371.0,7052.5,294.25,121.5,296.25,0.0,20.5,43.0,64.0,29.0,320.5,463.0,37.5,2067.25
2021-08-10 07:00:00+02:00,371.25,6964.25,293.75,139.25,295.0,0.0,1059.75,43.5,63.0,29.0,1233.25,463.5,9.75,1676.25
2021-08-10 08:00:00+02:00,369.75,7061.25,292.25,139.5,294.5,0.0,1351.25,43.0,62.75,29.0,2093.75,463.5,34.0,1044.75
2021-08-10 09:00:00+02:00,361.5,7069.0,290.5,141.5,294.5,0.0,820.0,42.25,62.5,29.0,2797.75,463.0,67.5,867.25
2021-08-10 10:00:00+02:00,360.5,7063.25,291.0,101.5,294.0,0.0,384.5,42.25,63.0,29.0,3118.25,463.5,54.5,990.75
2021-08-10 11:00:00+02:00,367.0,7003.75,293.25,129.0,294.0,0.0,161.0,43.0,62.25,29.0,3685.0,445.75,86.5,1250.0
2021-08-10 12:00:00+02:00,367.0,7033.75,293.0,154.0,294.0,0.0,-229.25,43.0,62.0,28.75,5364.25,448.5,96.5,1627.75
2021-08-10 13:00:00+02:00,368.25,6996.75,291.75,146.5,294.0,0.0,-100.0,43.0,62.0,28.25,6522.5,440.75,132.5,1895.75
2021-08-10 14:00:00+02:00,367.25,7030.75,216.75,126.75,294.0,0.0,-68.75,43.0,34.0,15.75,7297.5,431.25,73.75,2233.75
2021-08-10 15:00:00+02:00,371.25,7012.75,206.5,126.5,294.0,0.0,-72.0,43.25,30.0,14.0,7098.75,438.0,77.5,2213.5
2021-08-10 16:00:00+02:00,370.75,7020.25,207.0,110.75,294.0,0.0,-175.5,43.25,30.0,14.0,5753.25,440.75,117.0,2428.25
2021-08-10 17:00:00+02:00,370.5,7091.5,206.75,170.75,294.0,0.0,72.5,43.25,30.0,14.0,3683.75,431.5,114.5,2323.5
2021-08-10 18:00:00+02:00,373.75,7207.0,207.25,199.5,294.0,0.0,753.75,44.0,30.0,14.0,1945.25,419.5,80.25,2231.25
2021-08-10 19:00:00+02:00,375.0,7309.5,205.75,196.5,294.0,0.0,1272.5,44.0,30.0,14.0,639.5,411.0,98.5,1667.25
2021-08-10 20:00:00+02:00,376.0,7304.5,207.0,204.25,294.0,0.0,1602.0,44.0,30.0,14.0,62.0,400.0,76.5,1682.5
2021-08-10 21:00:00+02:00,377.5,7313.5,207.75,209.25,294.0,0.0,1472.0,44.0,30.0,14.0,0.0,423.25,52.25,1668.0
2021-08-10 22:00:00+02:00,373.5,7281.25,207.5,205.75,294.0,0.0,817.5,44.0,30.0,14.0,0.0,427.25,72.75,1473.5
2021-08-10 23:00:00+02:00,374.5,7262.75,208.25,176.75,295.5,0.0,155.75,44.0,30.0,14.0,0.0,432.0,88.25,1440.75
2021-08-11 00:00:00+02:00,373.75,7183.25,208.0,139.5,296.0,0.0,-298.75,44.0,30.0,14.0,0.0,434.75,132.0,1272.25
