,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-08-18 00:00:00+02:00,360.75,5756.5,154.75,84.0,285.25,0.0,57.0,42.0,10.25,5.0,0.0,437.25,978.75,8093.0
2021-08-18 01:00:00+02:00,361.0,5334.25,158.5,86.75,285.25,0.0,-3.75,42.25,12.0,6.0,0.0,432.25,977.5,7862.0
2021-08-18 02:00:00+02:00,362.75,4977.25,159.0,82.0,285.0,0.0,-289.5,42.75,12.0,6.0,0.0,433.25,977.25,7356.0
2021-08-18 03:00:00+02:00,363.0,5227.75,158.75,81.5,285.0,0.0,-322.25,42.25,12.0,6.0,0.0,438.5,982.0,6841.5
2021-08-18 04:00:00+02:00,363.25,4905.25,158.0,82.0,285.0,0.0,-290.0,42.75,12.0,6.0,0.0,441.5,975.25,6471.75
2021-08-18 05:00:00+02:00,364.5,5508.0,158.75,81.75,285.0,0.0,-193.5,42.75,12.0,6.0,1.0,445.5,974.5,6245.5
2021-08-18 06:00:00+02:00,365.5,6161.5,164.0,89.5,285.0,0.0,216.0,43.0,14.0,6.75,156.5,439.0,972.75,5941.25
2021-08-18 07:00:00+02:00,368.25,6262.25,259.25,97.5,285.0,0.0,330.0,43.0,49.75,23.0,859.25,435.75,974.25,5392.0
2021-08-18 08:00:00+02:00,368.0,6275.5,273.75,96.75,285.0,0.0,901.75,43.0,55.25,25.5,1930.5,442.0,976.75,5214.75
2021-08-18 09:00:00+02:00,366.25,6351.0,232.25,99.0,285.0,0.0,821.75,43.0,40.0,18.5,2959.25,436.75,975.5,5555.0
2021-08-18 10:00:00+02:00,365.0,6169.0,184.5,107.75,285.0,0.0,441.75,43.0,22.0,10.25,3742.75,434.25,972.25,6013.25
2021-08-18 11:00:00+02:00,360.75,6040.0,167.25,122.0,285.0,0.0,402.75,42.25,15.5,7.0,4253.5,423.0,961.5,6298.75
2021-08-18 12:00:00+02:00,367.75,6130.5,156.25,112.5,285.0,0.0,-132.5,43.0,11.5,5.0,4341.75,428.75,968.25,7024.25
2021-08-18 13:00:00+02:00,364.0,6035.75,142.75,111.5,285.0,0.0,-70.75,42.75,6.5,3.0,4170.25,415.75,961.0,7509.5
2021-08-18 14:00:00+02:00,363.5,6006.5,191.0,111.75,285.0,0.0,-287.0,42.75,24.5,11.0,3966.0,396.25,962.0,7866.0
2021-08-18 15:00:00+02:00,362.5,6204.75,148.0,108.25,285.0,0.0,-148.5,42.5,8.25,3.5,3429.75,408.25,962.5,8202.25
2021-08-18 16:00:00+02:00,364.25,6303.75,127.5,108.5,284.75,0.0,-46.0,43.0,0.5,0.0,2825.25,416.0,960.75,7798.5
2021-08-18 17:00:00+02:00,363.0,6247.0,127.0,115.5,281.75,0.0,255.5,42.5,0.0,0.0,1997.5,431.75,965.5,7243.75
2021-08-18 18:00:00+02:00,362.5,6334.5,127.0,129.5,281.75,0.0,391.25,42.5,0.0,0.0,981.0,430.25,966.75,6423.5
2021-08-18 19:00:00+02:00,363.75,6304.5,127.0,107.5,282.5,0.0,893.75,42.75,0.0,0.0,301.0,430.5,963.5,6061.5
2021-08-18 20:00:00+02:00,364.25,6300.0,126.25,67.25,281.5,0.0,674.0,42.75,0.0,0.0,15.75,428.0,969.5,5618.25
2021-08-18 21:00:00+02:00,364.75,6258.5,127.0,64.75,281.75,0.0,404.25,43.0,0.0,0.0,0.0,422.0,966.75,6063.25
2021-08-18 22:00:00+02:00,363.0,6050.75,127.25,68.25,281.5,0.0,184.0,42.25,0.25,0.0,0.0,423.75,967.0,6586.25
2021-08-18 23:00:00+02:00,363.0,5978.0,127.25,71.0,281.5,0.0,-75.25,42.75,0.25,0.0,0.0,424.5,969.0,6820.75
