,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-08-24 00:00:00+02:00,358.75,6271.25,126.0,521.0,305.25,0.0,46.75,42.0,0.0,0.0,0.0,142.0,86.75,4575.75
2021-08-24 01:00:00+02:00,361.5,6095.5,126.0,467.75,307.5,0.0,0.0,42.0,0.0,0.0,0.0,141.5,68.75,4558.0
2021-08-24 02:00:00+02:00,359.25,6101.25,125.0,365.75,308.0,0.0,0.0,42.0,0.0,0.0,0.0,141.75,74.75,4315.25
2021-08-24 03:00:00+02:00,360.0,6152.5,125.0,438.25,308.25,0.0,0.0,42.0,0.0,0.0,0.0,138.75,83.25,4232.25
2021-08-24 04:00:00+02:00,356.75,6173.75,126.75,476.25,308.0,0.0,0.0,42.0,0.0,0.0,0.0,143.5,110.25,4165.0
2021-08-24 05:00:00+02:00,356.0,6230.5,127.5,546.5,308.0,0.0,0.0,42.0,0.75,0.0,1.0,144.75,151.5,4082.5
2021-08-24 06:00:00+02:00,359.75,6356.0,127.0,643.25,308.25,0.0,80.75,42.0,1.0,0.0,126.75,148.75,175.75,3928.25
2021-08-24 07:00:00+02:00,362.0,6471.0,128.0,690.25,308.0,0.0,1686.0,42.25,1.0,0.0,1022.75,143.75,142.5,3022.75
2021-08-24 08:00:00+02:00,361.0,6472.0,129.5,653.25,308.0,0.0,1911.0,42.0,1.75,0.75,2488.5,143.5,81.5,2138.5
2021-08-24 09:00:00+02:00,361.0,6474.25,128.25,706.0,308.0,0.0,1408.75,42.25,1.0,1.0,4104.75,0.0,36.25,2144.5
2021-08-24 10:00:00+02:00,366.5,6435.25,129.25,697.0,308.0,0.0,404.5,43.0,1.0,1.0,5498.25,0.0,15.0,2575.5
2021-08-24 11:00:00+02:00,366.75,6463.0,129.75,670.0,308.0,0.0,48.75,43.0,1.0,1.0,6559.25,0.0,1.5,2892.25
2021-08-24 12:00:00+02:00,347.5,6581.5,132.0,561.5,306.5,0.0,86.5,40.75,2.0,1.0,7026.75,0.0,0.0,2942.5
2021-08-24 13:00:00+02:00,350.0,6615.0,130.0,370.0,302.0,0.0,75.0,41.0,2.0,1.0,7149.0,0.0,0.0,2815.75
2021-08-24 14:00:00+02:00,,,,,,,,,,,7122.25,,0.0,2690.5
2021-08-24 15:00:00+02:00,338.0,6566.0,124.0,376.0,302.0,0.0,0.0,40.0,0.0,0.0,6685.0,149.0,0.0,2414.6666666666665
2021-08-24 16:00:00+02:00,,,,,,,,,,,6070.0,,,
