,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-08-04 00:00:00+02:00,358.0,6425.25,125.0,660.25,294.5,0.0,-366.25,42.0,0.0,0.0,0.0,434.0,14.0,561.75
2021-08-04 01:00:00+02:00,357.5,6441.5,125.0,625.0,294.0,0.0,-885.0,42.0,0.0,0.0,0.0,438.5,4.0,484.5
2021-08-04 02:00:00+02:00,358.0,6268.0,125.0,434.5,294.0,0.0,-1180.25,42.0,0.0,0.0,0.0,435.75,0.0,449.5
2021-08-04 03:00:00+02:00,357.75,6278.0,125.0,394.25,294.0,0.0,-1177.75,42.0,0.0,0.0,0.0,424.25,0.0,380.5
2021-08-04 04:00:00+02:00,353.75,6450.5,125.5,511.25,294.0,0.0,-1176.5,41.25,0.0,0.0,0.0,438.0,0.0,337.25
2021-08-04 05:00:00+02:00,354.0,6470.75,125.25,664.25,294.0,0.0,-877.25,41.5,0.0,0.0,18.0,442.25,0.0,311.5
2021-08-04 06:00:00+02:00,353.0,6452.75,125.0,677.0,294.0,0.0,-15.5,41.0,0.0,0.0,334.0,444.0,0.0,303.75
2021-08-04 07:00:00+02:00,353.75,6478.25,125.0,687.75,295.75,0.0,856.0,41.0,0.0,0.0,1269.75,441.5,3.5,217.75
2021-08-04 08:00:00+02:00,356.25,6468.5,125.5,679.25,299.75,0.0,662.0,41.75,0.0,0.0,2684.5,436.25,2.75,108.0
2021-08-04 09:00:00+02:00,352.5,6391.75,144.0,679.0,300.0,0.0,275.75,41.0,0.0,0.0,4351.75,431.75,0.0,60.0
2021-08-04 10:00:00+02:00,349.5,6442.5,155.75,662.0,300.0,0.0,38.75,41.0,0.0,0.0,5673.0,436.0,0.0,82.25
2021-08-04 11:00:00+02:00,352.5,6461.0,149.25,659.0,300.25,0.0,39.5,41.0,0.0,0.0,6244.75,431.75,0.0,142.5
2021-08-04 12:00:00+02:00,354.0,6469.25,124.75,672.25,300.0,0.0,106.5,41.0,0.0,0.0,6325.75,434.25,0.0,236.5
2021-08-04 13:00:00+02:00,355.75,6451.75,124.5,668.75,303.75,0.0,-157.25,42.0,0.0,0.0,6153.0,430.75,0.0,358.0
2021-08-04 14:00:00+02:00,354.5,6467.75,124.0,656.5,301.25,0.0,-122.0,41.5,0.0,0.0,5930.0,422.25,0.0,514.25
2021-08-04 15:00:00+02:00,357.0,6475.75,124.0,654.0,298.5,0.0,-225.5,41.75,0.0,0.0,5259.5,429.5,0.5,682.25
2021-08-04 16:00:00+02:00,362.75,6468.75,124.0,665.0,298.0,0.0,41.75,42.0,0.0,0.0,4235.25,426.75,1.0,847.5
2021-08-04 17:00:00+02:00,360.0,6466.75,124.0,696.75,301.0,0.0,124.0,42.0,0.0,0.0,3013.0,437.25,0.75,845.5
2021-08-04 18:00:00+02:00,361.0,6461.0,124.0,700.25,302.0,0.0,563.0,42.0,0.0,0.0,1830.0,445.0,0.0,875.0
2021-08-04 19:00:00+02:00,360.75,6464.5,123.0,700.75,302.0,0.0,675.0,42.0,0.0,0.0,789.25,442.0,0.0,838.75
2021-08-04 20:00:00+02:00,360.0,6414.25,125.0,701.5,303.5,0.0,923.5,42.0,0.0,0.0,143.5,444.5,0.0,857.25
2021-08-04 21:00:00+02:00,359.0,6399.75,124.25,697.75,306.0,0.0,876.5,42.0,0.0,0.0,0.0,447.0,0.0,1050.0
2021-08-04 22:00:00+02:00,353.75,6291.75,125.0,681.25,306.0,0.0,122.5,41.25,0.0,0.0,0.0,442.5,0.5,1352.25
2021-08-04 23:00:00+02:00,353.0,6294.25,125.0,643.0,304.5,0.0,64.25,41.0,0.0,0.0,0.0,441.25,0.25,1356.75
