,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-08-17 00:00:00+02:00,360.25,4611.25,128.0,89.0,292.0,0.0,-210.75,42.0,1.0,0.0,0.0,417.25,943.25,9849.75
2021-08-17 01:00:00+02:00,361.75,4190.25,128.0,89.0,292.0,0.0,-913.25,42.0,1.0,0.0,0.0,414.25,951.25,10830.5
2021-08-17 02:00:00+02:00,362.25,4118.75,123.75,91.0,292.0,0.0,-911.5,42.25,1.25,0.25,0.0,393.25,961.5,11077.25
2021-08-17 03:00:00+02:00,362.75,4044.25,125.25,92.5,292.0,0.0,-911.0,42.25,2.25,1.0,0.0,397.25,834.0,11304.75
2021-08-17 04:00:00+02:00,361.5,4171.0,123.25,104.25,292.0,0.0,-746.25,42.0,1.5,0.5,0.0,408.0,730.25,11461.25
2021-08-17 05:00:00+02:00,364.0,4396.25,128.75,106.25,292.0,0.0,-669.25,43.0,1.0,0.0,1.0,404.25,776.25,11544.5
2021-08-17 06:00:00+02:00,362.0,5153.25,129.0,109.5,292.75,0.0,120.25,42.0,1.0,0.0,151.75,408.75,707.0,11571.5
2021-08-17 07:00:00+02:00,362.5,5720.75,128.5,105.5,294.25,0.0,897.75,42.25,1.0,0.0,820.25,411.0,911.5,11498.0
2021-08-17 08:00:00+02:00,364.0,5381.75,130.0,107.25,294.0,0.0,1272.25,42.75,1.0,0.75,1712.25,409.0,905.25,11745.0
2021-08-17 09:00:00+02:00,363.0,5636.75,130.25,107.0,293.5,0.0,528.75,42.5,1.0,1.0,2659.5,412.5,919.75,11871.0
2021-08-17 10:00:00+02:00,362.25,5454.5,129.75,115.25,289.25,0.0,502.25,42.5,1.0,0.75,3430.5,401.75,982.75,12122.25
2021-08-17 11:00:00+02:00,361.75,5325.5,130.0,122.5,289.0,0.0,-56.75,42.0,1.0,1.0,4195.25,374.75,987.25,12275.75
2021-08-17 12:00:00+02:00,360.0,5031.0,127.5,133.0,289.0,0.0,-549.5,42.0,1.0,1.0,4665.5,387.5,987.0,12138.25
2021-08-17 13:00:00+02:00,360.5,4795.5,126.25,125.5,289.25,0.0,-583.0,42.0,1.0,1.0,4801.5,397.75,984.0,12017.5
2021-08-17 14:00:00+02:00,358.5,4877.5,125.25,114.25,289.25,0.0,-582.75,42.0,1.0,1.0,4367.25,397.5,979.5,11985.75
2021-08-17 15:00:00+02:00,361.25,4942.25,126.0,108.5,290.0,0.0,-449.75,42.0,1.0,1.0,3669.5,403.75,983.5,11674.75
2021-08-17 16:00:00+02:00,362.0,5779.75,127.0,107.5,292.25,0.0,-106.75,42.0,1.0,1.0,2693.0,411.0,986.75,11380.75
2021-08-17 17:00:00+02:00,363.25,6532.25,128.75,118.5,292.25,0.0,160.5,42.5,1.0,1.0,1901.0,410.0,989.0,10979.75
2021-08-17 18:00:00+02:00,361.75,6685.25,129.5,129.25,287.75,0.0,490.0,42.25,1.25,1.0,968.75,415.5,958.25,10538.5
2021-08-17 19:00:00+02:00,361.25,6487.75,132.25,103.25,285.0,0.0,713.0,42.0,2.25,1.0,326.0,430.75,954.25,9490.5
2021-08-17 20:00:00+02:00,363.0,6451.25,131.75,93.25,285.25,0.0,874.0,42.5,2.0,1.0,21.25,431.75,887.75,8796.0
2021-08-17 21:00:00+02:00,365.5,6547.25,133.0,87.5,285.0,0.0,724.0,43.0,2.0,1.0,0.0,427.0,913.25,8510.0
2021-08-17 22:00:00+02:00,363.5,6587.0,134.25,85.0,285.5,0.0,263.75,43.0,2.75,1.0,0.0,425.5,984.25,8303.25
2021-08-17 23:00:00+02:00,363.25,6256.5,141.25,84.5,285.5,0.0,94.5,42.75,5.25,2.25,0.0,432.25,982.75,8261.25
2021-08-18 00:00:00+02:00,360.75,5756.5,154.75,84.0,285.25,0.0,57.0,42.0,10.25,5.0,0.0,437.25,978.75,8093.0
