,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-08-25 00:00:00+02:00,356.75,6588.5,129.0,638.75,290.0,0.0,102.25,42.0,1.25,0.25,0.0,254.0,127.25,1528.25
2021-08-25 01:00:00+02:00,353.25,6620.0,132.5,639.5,290.0,0.0,-224.25,41.5,2.25,1.0,0.0,420.25,199.75,894.5
2021-08-25 02:00:00+02:00,349.25,6593.75,129.25,639.75,290.0,0.0,-818.25,41.0,1.0,0.0,0.0,427.25,301.75,551.0
2021-08-25 03:00:00+02:00,350.0,6607.0,129.0,642.5,290.0,0.0,-523.25,41.0,1.0,0.0,0.0,424.5,446.5,413.5
2021-08-25 04:00:00+02:00,351.25,6620.0,127.5,638.0,290.0,0.0,-183.0,41.0,1.0,0.0,0.0,434.5,540.75,534.5
2021-08-25 05:00:00+02:00,355.0,6624.25,128.0,642.75,290.0,0.0,-217.0,41.5,1.0,0.0,0.75,435.75,708.25,776.75
2021-08-25 06:00:00+02:00,351.75,6594.5,128.0,641.5,290.0,0.0,167.0,41.0,1.0,0.0,141.25,431.5,790.0,1217.5
2021-08-25 07:00:00+02:00,358.75,6587.25,127.0,639.5,303.0,0.0,1771.5,42.0,1.0,0.0,1177.25,437.75,886.5,1363.25
2021-08-25 08:00:00+02:00,360.0,6472.75,126.25,640.0,307.75,0.0,1848.75,42.0,1.0,0.0,2905.75,437.5,928.5,1555.5
2021-08-25 09:00:00+02:00,361.0,6458.0,126.0,646.5,311.75,0.0,1096.75,42.0,1.0,0.0,4773.0,433.5,935.0,1581.5
2021-08-25 10:00:00+02:00,361.5,6438.0,125.25,550.25,311.75,0.0,104.25,42.0,1.0,0.0,5986.5,420.25,929.0,2169.0
2021-08-25 11:00:00+02:00,359.75,6107.75,126.0,307.25,307.25,0.0,-510.5,42.0,1.0,0.0,6536.25,413.5,927.0,3135.75
2021-08-25 12:00:00+02:00,359.0,5795.0,126.25,115.75,302.75,0.0,-1007.0,42.0,1.0,0.0,6511.5,405.75,927.75,3900.5
2021-08-25 13:00:00+02:00,359.0,5470.5,126.0,114.25,300.0,0.0,-1185.25,42.0,0.75,0.0,6354.75,395.75,921.0,4694.75
2021-08-25 14:00:00+02:00,345.25,5139.0,125.5,106.5,297.75,0.0,-1182.25,40.75,0.0,0.0,6148.333333333333,395.75,921.6666666666666,5311.666666666667
2021-08-25 15:00:00+02:00,358.25,5059.0,127.5,100.75,295.0,0.0,-1178.5,42.0,0.0,0.0,4972.5,414.25,942.5,6665.0
2021-08-25 16:00:00+02:00,357.5,5176.5,135.0,100.0,292.0,0.0,-910.5,42.0,0.0,0.0,4115.5,418.5,944.0,6847.5
