,0
2021-08-24 00:00:00+02:00,7821.0
2021-08-24 01:00:00+02:00,7490.0
2021-08-24 02:00:00+02:00,7306.0
2021-08-24 03:00:00+02:00,7422.0
2021-08-24 04:00:00+02:00,7603.0
2021-08-24 05:00:00+02:00,7803.0
2021-08-24 06:00:00+02:00,9792.0
2021-08-24 07:00:00+02:00,10552.0
2021-08-24 08:00:00+02:00,10219.0
2021-08-24 09:00:00+02:00,10109.0
2021-08-24 10:00:00+02:00,10076.0
2021-08-24 11:00:00+02:00,11166.0
2021-08-24 12:00:00+02:00,11412.0
2021-08-24 13:00:00+02:00,11360.0
2021-08-24 14:00:00+02:00,10906.0
2021-08-24 15:00:00+02:00,10152.0
2021-08-24 16:00:00+02:00,8917.0
2021-08-24 17:00:00+02:00,7777.0
2021-08-24 18:00:00+02:00,8390.0
2021-08-24 19:00:00+02:00,9640.0
2021-08-24 20:00:00+02:00,10705.0
2021-08-24 21:00:00+02:00,10711.0
2021-08-24 22:00:00+02:00,9363.0
2021-08-24 23:00:00+02:00,7349.0
