,Solar,Wind Offshore,Wind Onshore
2021-08-25 00:00:00+02:00,0.0,109.0,1361.0
2021-08-25 00:15:00+02:00,0.0,120.0,1268.0
2021-08-25 00:30:00+02:00,0.0,132.0,1177.0
2021-08-25 00:45:00+02:00,0.0,145.0,1084.0
2021-08-25 01:00:00+02:00,0.0,158.0,990.0
2021-08-25 01:15:00+02:00,0.0,178.0,902.0
2021-08-25 01:30:00+02:00,0.0,198.0,816.0
2021-08-25 01:45:00+02:00,0.0,219.0,728.0
2021-08-25 02:00:00+02:00,0.0,242.0,646.0
2021-08-25 02:15:00+02:00,0.0,268.0,585.0
2021-08-25 02:30:00+02:00,0.0,294.0,537.0
2021-08-25 02:45:00+02:00,0.0,322.0,506.0
2021-08-25 03:00:00+02:00,0.0,349.0,488.0
2021-08-25 03:15:00+02:00,0.0,377.0,473.0
2021-08-25 03:30:00+02:00,0.0,405.0,491.0
2021-08-25 03:45:00+02:00,0.0,433.0,512.0
2021-08-25 04:00:00+02:00,0.0,461.0,544.0
2021-08-25 04:15:00+02:00,0.0,489.0,593.0
2021-08-25 04:30:00+02:00,0.0,517.0,650.0
2021-08-25 04:45:00+02:00,0.0,543.0,712.0
2021-08-25 05:00:00+02:00,0.0,570.0,776.0
2021-08-25 05:15:00+02:00,0.0,604.0,843.0
2021-08-25 05:30:00+02:00,0.0,638.0,914.0
2021-08-25 05:45:00+02:00,0.0,674.0,987.0
2021-08-25 06:00:00+02:00,6.0,706.0,1045.0
2021-08-25 06:15:00+02:00,129.0,734.0,1127.0
2021-08-25 06:30:00+02:00,239.0,761.0,1204.0
2021-08-25 06:45:00+02:00,401.0,785.0,1278.0
2021-08-25 07:00:00+02:00,649.0,809.0,1345.0
2021-08-25 07:15:00+02:00,974.0,831.0,1404.0
2021-08-25 07:30:00+02:00,1364.0,853.0,1449.0
2021-08-25 07:45:00+02:00,1809.0,876.0,1481.0
2021-08-25 08:00:00+02:00,2285.0,898.0,1487.0
2021-08-25 08:15:00+02:00,2823.0,922.0,1484.0
2021-08-25 08:30:00+02:00,3337.0,945.0,1488.0
2021-08-25 08:45:00+02:00,3857.0,967.0,1510.0
2021-08-25 09:00:00+02:00,4347.0,989.0,1554.0
2021-08-25 09:15:00+02:00,4806.0,996.0,1611.0
2021-08-25 09:30:00+02:00,5230.0,1003.0,1708.0
2021-08-25 09:45:00+02:00,5629.0,1009.0,1804.0
2021-08-25 10:00:00+02:00,5974.0,1016.0,1897.0
2021-08-25 10:15:00+02:00,6271.0,1017.0,2051.0
2021-08-25 10:30:00+02:00,6512.0,1019.0,2205.0
2021-08-25 10:45:00+02:00,6698.0,1020.0,2375.0
2021-08-25 11:00:00+02:00,6856.0,1021.0,2550.0
2021-08-25 11:15:00+02:00,6968.0,1021.0,2764.0
2021-08-25 11:30:00+02:00,7051.0,1021.0,2981.0
2021-08-25 11:45:00+02:00,7111.0,1022.0,3204.0
2021-08-25 12:00:00+02:00,7156.0,1022.0,3428.0
2021-08-25 12:15:00+02:00,7156.0,1021.0,3654.0
2021-08-25 12:30:00+02:00,7120.0,1020.0,3888.0
2021-08-25 12:45:00+02:00,7069.0,1018.0,4127.0
2021-08-25 13:00:00+02:00,7009.0,1016.0,4372.0
2021-08-25 13:15:00+02:00,6919.0,1016.0,4617.0
2021-08-25 13:30:00+02:00,6796.0,1015.0,4880.0
2021-08-25 13:45:00+02:00,6655.0,1014.0,5174.0
2021-08-25 14:00:00+02:00,6494.0,1013.0,5469.0
2021-08-25 14:15:00+02:00,6338.0,1010.0,5726.0
2021-08-25 14:30:00+02:00,6120.0,1007.0,5959.0
2021-08-25 14:45:00+02:00,5897.0,1003.0,6175.0
2021-08-25 15:00:00+02:00,5676.0,998.0,6375.0
2021-08-25 15:15:00+02:00,5436.0,994.0,6561.0
2021-08-25 15:30:00+02:00,5171.0,990.0,6718.0
2021-08-25 15:45:00+02:00,4860.0,985.0,6874.0
2021-08-25 16:00:00+02:00,4540.0,980.0,7032.0
2021-08-25 16:15:00+02:00,4200.0,977.0,7117.0
2021-08-25 16:30:00+02:00,3844.0,974.0,7201.0
2021-08-25 16:45:00+02:00,3466.0,968.0,7276.0
2021-08-25 17:00:00+02:00,3081.0,963.0,7353.0
2021-08-25 17:15:00+02:00,2697.0,949.0,7330.0
2021-08-25 17:30:00+02:00,2328.0,936.0,7308.0
2021-08-25 17:45:00+02:00,1928.0,921.0,7278.0
2021-08-25 18:00:00+02:00,1579.0,906.0,7247.0
2021-08-25 18:15:00+02:00,1265.0,884.0,7217.0
2021-08-25 18:30:00+02:00,978.0,862.0,7199.0
2021-08-25 18:45:00+02:00,726.0,833.0,7181.0
2021-08-25 19:00:00+02:00,514.0,805.0,7171.0
2021-08-25 19:15:00+02:00,360.0,764.0,7171.0
2021-08-25 19:30:00+02:00,238.0,723.0,7192.0
2021-08-25 19:45:00+02:00,158.0,686.0,7222.0
2021-08-25 20:00:00+02:00,86.0,649.0,7246.0
2021-08-25 20:15:00+02:00,0.0,616.0,7261.0
2021-08-25 20:30:00+02:00,0.0,582.0,7272.0
2021-08-25 20:45:00+02:00,0.0,546.0,7279.0
2021-08-25 21:00:00+02:00,0.0,509.0,7284.0
2021-08-25 21:15:00+02:00,0.0,494.0,7295.0
2021-08-25 21:30:00+02:00,0.0,480.0,7289.0
2021-08-25 21:45:00+02:00,0.0,462.0,7282.0
2021-08-25 22:00:00+02:00,0.0,446.0,7190.0
2021-08-25 22:15:00+02:00,0.0,434.0,7166.0
2021-08-25 22:30:00+02:00,0.0,423.0,7141.0
2021-08-25 22:45:00+02:00,0.0,411.0,7119.0
2021-08-25 23:00:00+02:00,0.0,398.0,7101.0
2021-08-25 23:15:00+02:00,0.0,399.0,7043.0
