,Solar,Wind Offshore,Wind Onshore
2021-11-18 00:00:00+01:00,0.0,5981.0,16262.0
2021-11-18 00:15:00+01:00,0.0,5976.0,16308.0
2021-11-18 00:30:00+01:00,0.0,5973.0,16391.0
2021-11-18 00:45:00+01:00,0.0,5974.0,16441.0
2021-11-18 01:00:00+01:00,0.0,5719.0,16507.0
2021-11-18 01:15:00+01:00,0.0,5704.0,16554.0
2021-11-18 01:30:00+01:00,0.0,5687.0,16635.0
2021-11-18 01:45:00+01:00,0.0,5674.0,16723.0
2021-11-18 02:00:00+01:00,0.0,5658.0,16794.0
2021-11-18 02:15:00+01:00,0.0,5650.0,16833.0
2021-11-18 02:30:00+01:00,0.0,5640.0,16860.0
2021-11-18 02:45:00+01:00,0.0,5628.0,16887.0
2021-11-18 03:00:00+01:00,0.0,5622.0,16900.0
2021-11-18 03:15:00+01:00,0.0,5606.0,16921.0
2021-11-18 03:30:00+01:00,0.0,5592.0,16928.0
2021-11-18 03:45:00+01:00,0.0,5582.0,16920.0
2021-11-18 04:00:00+01:00,0.0,5574.0,16888.0
2021-11-18 04:15:00+01:00,0.0,5593.0,16860.0
2021-11-18 04:30:00+01:00,0.0,5614.0,16847.0
2021-11-18 04:45:00+01:00,0.0,5628.0,16852.0
2021-11-18 05:00:00+01:00,0.0,5639.0,16849.0
2021-11-18 05:15:00+01:00,0.0,5668.0,16923.0
2021-11-18 05:30:00+01:00,0.0,5692.0,16964.0
2021-11-18 05:45:00+01:00,0.0,5717.0,17006.0
2021-11-18 06:00:00+01:00,0.0,5720.0,17275.0
2021-11-18 06:15:00+01:00,0.0,5750.0,17367.0
2021-11-18 06:30:00+01:00,0.0,5783.0,17394.0
2021-11-18 06:45:00+01:00,0.0,5810.0,17397.0
2021-11-18 07:00:00+01:00,0.0,5845.0,17390.0
2021-11-18 07:15:00+01:00,1.0,5904.0,17397.0
2021-11-18 07:30:00+01:00,26.0,5957.0,17403.0
2021-11-18 07:45:00+01:00,230.0,6009.0,17418.0
2021-11-18 08:00:00+01:00,482.0,6090.0,17448.0
2021-11-18 08:15:00+01:00,885.0,6117.0,17473.0
2021-11-18 08:30:00+01:00,1375.0,6136.0,17477.0
2021-11-18 08:45:00+01:00,1909.0,6155.0,17478.0
2021-11-18 09:00:00+01:00,2477.0,6171.0,17521.0
2021-11-18 09:15:00+01:00,3048.0,6180.0,17547.0
2021-11-18 09:30:00+01:00,3596.0,6183.0,17578.0
2021-11-18 09:45:00+01:00,4138.0,6191.0,17639.0
2021-11-18 10:00:00+01:00,4661.0,6200.0,17709.0
2021-11-18 10:15:00+01:00,5175.0,6200.0,17757.0
2021-11-18 10:30:00+01:00,5628.0,6200.0,17821.0
2021-11-18 10:45:00+01:00,6001.0,6139.0,17896.0
2021-11-18 11:00:00+01:00,6320.0,6134.0,18031.0
2021-11-18 11:15:00+01:00,6584.0,6332.0,18404.0
2021-11-18 11:30:00+01:00,6735.0,6303.0,18764.0
2021-11-18 11:45:00+01:00,6764.0,6301.0,19137.0
2021-11-18 12:00:00+01:00,6752.0,6304.0,19488.0
2021-11-18 12:15:00+01:00,6698.0,6213.0,19797.0
2021-11-18 12:30:00+01:00,6559.0,6214.0,20070.0
2021-11-18 12:45:00+01:00,6353.0,6220.0,20366.0
2021-11-18 13:00:00+01:00,6087.0,6231.0,20667.0
2021-11-18 13:15:00+01:00,5817.0,6235.0,20919.0
2021-11-18 13:30:00+01:00,5481.0,6242.0,21173.0
2021-11-18 13:45:00+01:00,5120.0,6245.0,21470.0
2021-11-18 14:00:00+01:00,4713.0,6248.0,21691.0
2021-11-18 14:15:00+01:00,4260.0,5735.0,21893.0
2021-11-18 14:30:00+01:00,3728.0,5734.0,22124.0
2021-11-18 14:45:00+01:00,3151.0,5731.0,22322.0
2021-11-18 15:00:00+01:00,2560.0,5691.0,22612.0
2021-11-18 15:15:00+01:00,1976.0,5691.0,22956.0
2021-11-18 15:30:00+01:00,1406.0,5688.0,23295.0
2021-11-18 15:45:00+01:00,901.0,5629.0,23607.0
2021-11-18 16:00:00+01:00,492.0,5627.0,23923.0
2021-11-18 16:15:00+01:00,186.0,5627.0,24299.0
2021-11-18 16:30:00+01:00,17.0,5626.0,24690.0
2021-11-18 16:45:00+01:00,3.0,5624.0,25127.0
2021-11-18 17:00:00+01:00,0.0,5623.0,25520.0
2021-11-18 17:15:00+01:00,0.0,5619.0,25864.0
2021-11-18 17:30:00+01:00,0.0,5622.0,26210.0
2021-11-18 17:45:00+01:00,0.0,5616.0,26549.0
2021-11-18 18:00:00+01:00,0.0,5609.0,26840.0
2021-11-18 18:15:00+01:00,0.0,5612.0,27073.0
2021-11-18 18:30:00+01:00,0.0,5616.0,27258.0
2021-11-18 18:45:00+01:00,0.0,5613.0,27456.0
2021-11-18 19:00:00+01:00,0.0,5607.0,27649.0
2021-11-18 19:15:00+01:00,0.0,5598.0,27730.0
2021-11-18 19:30:00+01:00,0.0,5594.0,27804.0
2021-11-18 19:45:00+01:00,0.0,5627.0,27872.0
2021-11-18 20:00:00+01:00,0.0,5622.0,27919.0
2021-11-18 20:15:00+01:00,0.0,5616.0,27953.0
2021-11-18 20:30:00+01:00,0.0,5613.0,27923.0
2021-11-18 20:45:00+01:00,0.0,5654.0,27908.0
2021-11-18 21:00:00+01:00,0.0,5648.0,27882.0
2021-11-18 21:15:00+01:00,0.0,5638.0,27794.0
2021-11-18 21:30:00+01:00,0.0,5626.0,27743.0
2021-11-18 21:45:00+01:00,0.0,5612.0,27659.0
2021-11-18 22:00:00+01:00,0.0,5766.0,26945.0
2021-11-18 22:15:00+01:00,0.0,5763.0,26834.0
2021-11-18 22:30:00+01:00,0.0,5760.0,26723.0
2021-11-18 22:45:00+01:00,0.0,5755.0,26619.0
2021-11-18 23:00:00+01:00,0.0,5747.0,26481.0
2021-11-18 23:15:00+01:00,0.0,5748.0,26361.0
2021-11-18 23:30:00+01:00,0.0,5746.0,26238.0
2021-11-18 23:45:00+01:00,0.0,5731.0,26101.0
