,0
2021-08-24 00:00:00+02:00,4033.0
2021-08-24 01:00:00+02:00,3717.0
2021-08-24 02:00:00+02:00,3783.0
2021-08-24 03:00:00+02:00,3899.0
2021-08-24 04:00:00+02:00,3955.0
2021-08-24 05:00:00+02:00,4239.0
2021-08-24 06:00:00+02:00,4356.0
2021-08-24 07:00:00+02:00,5119.0
2021-08-24 08:00:00+02:00,5921.0
2021-08-24 09:00:00+02:00,6114.0
2021-08-24 10:00:00+02:00,6419.0
2021-08-24 11:00:00+02:00,6720.0
2021-08-24 12:00:00+02:00,6648.0
2021-08-24 13:00:00+02:00,6316.0
2021-08-24 14:00:00+02:00,6232.0
2021-08-24 15:00:00+02:00,6184.0
2021-08-24 16:00:00+02:00,5977.0
2021-08-24 17:00:00+02:00,5832.0
2021-08-24 18:00:00+02:00,5486.0
2021-08-24 19:00:00+02:00,5537.0
2021-08-24 20:00:00+02:00,5573.0
2021-08-24 21:00:00+02:00,4861.0
2021-08-24 22:00:00+02:00,4567.0
2021-08-24 23:00:00+02:00,4466.0
