,Solar,Wind Offshore,Wind Onshore
2021-08-25 00:00:00+02:00,0.0,235.0,1497.0
2021-08-25 00:15:00+02:00,0.0,250.0,1452.0
2021-08-25 00:30:00+02:00,0.0,267.0,1402.0
2021-08-25 00:45:00+02:00,0.0,283.0,1358.0
2021-08-25 01:00:00+02:00,0.0,302.0,1315.0
2021-08-25 01:15:00+02:00,0.0,325.0,1282.0
2021-08-25 01:30:00+02:00,0.0,345.0,1241.0
2021-08-25 01:45:00+02:00,0.0,369.0,1208.0
2021-08-25 02:00:00+02:00,0.0,390.0,1194.0
2021-08-25 02:15:00+02:00,0.0,430.0,1180.0
2021-08-25 02:30:00+02:00,0.0,470.0,1166.0
2021-08-25 02:45:00+02:00,0.0,510.0,1162.0
2021-08-25 03:00:00+02:00,0.0,552.0,1167.0
2021-08-25 03:15:00+02:00,0.0,627.0,1185.0
2021-08-25 03:30:00+02:00,0.0,697.0,1206.0
2021-08-25 03:45:00+02:00,0.0,771.0,1229.0
2021-08-25 04:00:00+02:00,0.0,845.0,1262.0
2021-08-25 04:15:00+02:00,0.0,934.0,1327.0
2021-08-25 04:30:00+02:00,0.0,1027.0,1382.0
2021-08-25 04:45:00+02:00,0.0,1112.0,1433.0
2021-08-25 05:00:00+02:00,0.0,1213.0,1493.0
2021-08-25 05:15:00+02:00,0.0,1315.0,1574.0
2021-08-25 05:30:00+02:00,0.0,1425.0,1645.0
2021-08-25 05:45:00+02:00,0.0,1531.0,1727.0
2021-08-25 06:00:00+02:00,3.0,1631.0,1821.0
2021-08-25 06:15:00+02:00,18.0,1718.0,1898.0
2021-08-25 06:30:00+02:00,173.0,1810.0,1997.0
2021-08-25 06:45:00+02:00,323.0,1903.0,2082.0
2021-08-25 07:00:00+02:00,579.0,1993.0,2169.0
2021-08-25 07:15:00+02:00,954.0,2086.0,2257.0
2021-08-25 07:30:00+02:00,1429.0,2175.0,2339.0
2021-08-25 07:45:00+02:00,1986.0,2259.0,2409.0
2021-08-25 08:00:00+02:00,2601.0,2352.0,2488.0
2021-08-25 08:15:00+02:00,3284.0,2425.0,2575.0
2021-08-25 08:30:00+02:00,4007.0,2465.0,2658.0
2021-08-25 08:45:00+02:00,4724.0,2542.0,2757.0
2021-08-25 09:00:00+02:00,5418.0,2611.0,2898.0
2021-08-25 09:15:00+02:00,6100.0,2701.0,3070.0
2021-08-25 09:30:00+02:00,6756.0,2784.0,3266.0
2021-08-25 09:45:00+02:00,7342.0,2874.0,3465.0
2021-08-25 10:00:00+02:00,7876.0,2966.0,3672.0
2021-08-25 10:15:00+02:00,8362.0,3065.0,3893.0
2021-08-25 10:30:00+02:00,8795.0,3163.0,4121.0
2021-08-25 10:45:00+02:00,9172.0,3266.0,4353.0
2021-08-25 11:00:00+02:00,9486.0,3328.0,4588.0
2021-08-25 11:15:00+02:00,9745.0,3366.0,4808.0
2021-08-25 11:30:00+02:00,9967.0,3449.0,5033.0
2021-08-25 11:45:00+02:00,10152.0,3532.0,5251.0
2021-08-25 12:00:00+02:00,10299.0,3612.0,5470.0
2021-08-25 12:15:00+02:00,10402.0,3698.0,5694.0
2021-08-25 12:30:00+02:00,10469.0,3791.0,5914.0
2021-08-25 12:45:00+02:00,10505.0,3867.0,6128.0
2021-08-25 13:00:00+02:00,10512.0,3950.0,6339.0
2021-08-25 13:15:00+02:00,10476.0,3966.0,6533.0
2021-08-25 13:30:00+02:00,10406.0,4052.0,6732.0
2021-08-25 13:45:00+02:00,10317.0,4140.0,6941.0
2021-08-25 14:00:00+02:00,10191.0,4217.0,7126.0
2021-08-25 14:15:00+02:00,10027.0,4279.0,7287.0
2021-08-25 14:30:00+02:00,9827.0,4342.0,7438.0
2021-08-25 14:45:00+02:00,9594.0,4403.0,7578.0
2021-08-25 15:00:00+02:00,9311.0,4457.0,7733.0
2021-08-25 15:15:00+02:00,8983.0,4497.0,7869.0
2021-08-25 15:30:00+02:00,8607.0,4536.0,8002.0
2021-08-25 15:45:00+02:00,8188.0,4572.0,8130.0
2021-08-25 16:00:00+02:00,7727.0,4603.0,8238.0
2021-08-25 16:15:00+02:00,7224.0,4618.0,8312.0
2021-08-25 16:30:00+02:00,6679.0,4635.0,8383.0
2021-08-25 16:45:00+02:00,6093.0,4653.0,8446.0
2021-08-25 17:00:00+02:00,5458.0,4667.0,8494.0
2021-08-25 17:15:00+02:00,4803.0,4675.0,8507.0
2021-08-25 17:30:00+02:00,4128.0,4687.0,8519.0
2021-08-25 17:45:00+02:00,3478.0,4696.0,8530.0
2021-08-25 18:00:00+02:00,2853.0,4703.0,8517.0
2021-08-25 18:15:00+02:00,2272.0,4714.0,8448.0
2021-08-25 18:30:00+02:00,1743.0,4717.0,8383.0
2021-08-25 18:45:00+02:00,1274.0,4765.0,8316.0
2021-08-25 19:00:00+02:00,910.0,4769.0,8239.0
2021-08-25 19:15:00+02:00,633.0,4773.0,8161.0
2021-08-25 19:30:00+02:00,414.0,4934.0,8089.0
2021-08-25 19:45:00+02:00,250.0,4939.0,8016.0
2021-08-25 20:00:00+02:00,137.0,5145.0,7923.0
2021-08-25 20:15:00+02:00,86.0,5149.0,7819.0
2021-08-25 20:30:00+02:00,0.0,5154.0,7740.0
2021-08-25 20:45:00+02:00,0.0,5156.0,7676.0
2021-08-25 21:00:00+02:00,0.0,5162.0,7588.0
2021-08-25 21:15:00+02:00,0.0,5162.0,7490.0
2021-08-25 21:30:00+02:00,0.0,5164.0,7382.0
2021-08-25 21:45:00+02:00,0.0,5166.0,7269.0
2021-08-25 22:00:00+02:00,0.0,5189.0,7009.0
2021-08-25 22:15:00+02:00,0.0,5209.0,6918.0
2021-08-25 22:30:00+02:00,0.0,5205.0,6817.0
2021-08-25 22:45:00+02:00,0.0,5198.0,6711.0
2021-08-25 23:00:00+02:00,0.0,5183.0,6599.0
2021-08-25 23:15:00+02:00,0.0,5142.0,6493.0
2021-08-25 23:30:00+02:00,0.0,5101.0,6385.0
2021-08-25 23:45:00+02:00,0.0,5059.0,6273.0
