,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-08-03 00:00:00+02:00,2142.25,0.0,484.0,997.75,0.0,19.0,-85.5,1318.0,25.5,4046.0,20.0,10.0,0.0,360.0,431.5,936.0
2021-08-03 01:00:00+02:00,2139.0,0.0,485.5,986.25,0.0,19.0,-6.5,1321.75,24.75,4047.0,20.0,10.0,0.0,361.0,406.5,844.5
2021-08-03 02:00:00+02:00,2130.0,0.0,486.75,987.75,0.0,19.0,-654.25,1325.5,11.25,4048.0,20.0,10.0,0.0,361.0,566.25,807.0
2021-08-03 03:00:00+02:00,2111.75,0.0,489.25,1086.75,0.0,19.0,-656.25,1325.25,16.75,4042.25,20.0,10.0,0.0,361.0,523.5,628.75
2021-08-03 04:00:00+02:00,2102.0,0.0,624.5,1208.0,0.0,19.0,-672.0,1318.0,7.0,4043.0,20.0,10.0,0.0,362.0,573.25,508.75
2021-08-03 05:00:00+02:00,2087.75,0.0,757.25,1642.75,0.0,19.0,-478.0,1314.5,21.75,4042.25,20.0,10.0,5.5,317.0,490.0,490.0
2021-08-03 06:00:00+02:00,2083.75,0.0,945.25,2148.75,0.0,19.0,252.25,1307.5,65.5,4054.25,20.0,10.0,402.0,317.0,364.25,372.25
2021-08-03 07:00:00+02:00,2093.75,0.0,1650.5,2421.0,0.0,19.0,140.0,1307.25,48.5,4057.5,20.0,10.0,1839.5,317.0,238.5,323.5
2021-08-03 08:00:00+02:00,2109.75,0.0,1852.5,2546.5,0.0,19.0,187.25,1306.0,59.25,4061.25,20.0,10.0,3857.0,317.0,173.25,196.5
2021-08-03 09:00:00+02:00,2128.0,0.0,1643.0,2399.5,0.0,19.0,245.0,1310.25,81.0,4057.25,20.0,10.0,5872.25,317.0,86.25,215.0
2021-08-03 10:00:00+02:00,2130.75,0.0,1091.5,2267.25,0.0,19.0,147.5,1316.0,70.5,4052.75,20.0,10.0,7366.0,326.0,62.0,268.5
2021-08-03 11:00:00+02:00,2138.75,0.0,1100.5,2218.75,0.0,19.0,119.25,1324.25,64.25,4049.25,20.0,10.0,7877.5,326.0,44.75,245.0
2021-08-03 12:00:00+02:00,2146.25,0.0,1135.0,2087.25,0.0,19.0,166.5,1334.25,31.75,4048.25,20.0,10.0,7835.0,326.0,45.0,458.25
2021-08-03 13:00:00+02:00,2146.75,0.0,988.5,2060.25,0.0,19.0,-99.25,1330.0,7.5,4042.5,20.0,10.0,7673.75,326.0,16.25,663.25
2021-08-03 14:00:00+02:00,2142.75,0.0,949.0,1976.25,0.0,19.0,-210.25,1332.0,4.0,4038.5,20.0,10.0,7612.5,335.0,9.75,700.0
2021-08-03 15:00:00+02:00,2134.5,0.0,981.25,1961.25,0.0,19.0,-220.5,1341.25,4.0,4029.0,20.0,10.0,6960.5,326.0,22.25,890.25
2021-08-03 16:00:00+02:00,2125.25,0.0,1178.75,2065.25,0.0,19.0,190.25,1346.0,47.25,4026.0,20.0,10.0,5778.75,353.0,4.75,822.25
2021-08-03 17:00:00+02:00,2123.25,0.0,1669.5,2412.25,0.0,19.0,262.5,1333.25,40.75,4025.0,20.0,10.0,4299.25,353.0,6.75,752.5
2021-08-03 18:00:00+02:00,2128.5,0.0,1921.25,2691.25,0.0,19.0,313.5,1323.25,58.5,4026.5,20.0,10.0,2299.5,353.0,24.75,757.5
2021-08-03 19:00:00+02:00,2132.25,0.0,1946.75,2709.5,0.0,19.0,397.75,1316.0,63.75,4030.5,20.0,10.0,868.25,353.0,50.5,784.75
2021-08-03 20:00:00+02:00,2137.75,0.0,1946.5,2701.75,0.0,19.0,487.5,1329.25,69.0,4032.25,20.0,10.0,159.5,353.0,36.5,797.5
2021-08-03 21:00:00+02:00,2135.0,0.0,1881.5,2699.5,0.0,19.0,418.25,1339.25,69.5,4032.75,20.0,10.0,2.5,353.0,31.0,867.5
2021-08-03 22:00:00+02:00,2137.5,0.0,1564.0,2645.5,0.0,19.0,319.75,1343.25,63.25,4032.5,20.0,10.0,0.0,353.0,28.75,1009.0
2021-08-03 23:00:00+02:00,2140.75,0.0,795.0,2486.0,0.0,19.0,103.75,1344.25,64.75,4036.75,20.0,10.0,0.0,353.0,12.25,1152.75
2021-08-04 00:00:00+02:00,2130.25,0.0,502.5,2049.25,0.0,19.0,64.0,1345.75,53.0,4036.0,20.0,10.0,0.0,348.0,13.5,1234.75
