,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-08-18 00:00:00+02:00,2194.5,0.0,476.5,265.0,0.0,19.0,-97.75,1272.5,14.75,3931.75,20.0,10.0,0.0,349.0,2700.0,5893.0
2021-08-18 01:00:00+02:00,2188.25,0.0,470.75,269.5,0.0,19.0,-261.25,1289.5,9.25,3910.0,20.0,10.0,0.0,349.0,3418.5,5453.75
2021-08-18 02:00:00+02:00,2176.0,0.0,470.75,266.0,0.0,19.0,-132.5,1287.25,15.25,3919.25,20.0,10.0,0.0,350.0,3506.0,5266.25
2021-08-18 03:00:00+02:00,2164.0,0.0,470.25,270.25,0.0,19.0,-356.5,1294.25,9.75,3900.0,20.0,10.0,0.0,348.0,4660.0,5093.25
2021-08-18 04:00:00+02:00,2155.5,0.0,493.0,267.75,0.0,19.0,-262.0,1289.75,7.25,3786.5,20.0,10.0,0.0,347.0,5092.25,5386.5
2021-08-18 05:00:00+02:00,2146.0,0.0,513.75,266.0,0.0,19.0,-155.25,1289.25,11.0,3697.0,20.0,10.0,0.0,347.0,5337.25,5923.0
2021-08-18 06:00:00+02:00,2147.5,0.0,655.25,282.75,0.0,19.0,43.25,1285.0,13.25,3705.25,20.0,10.0,84.25,348.0,5172.75,6344.5
2021-08-18 07:00:00+02:00,2147.5,0.0,789.75,300.0,0.0,19.0,171.5,1288.5,15.5,3654.25,20.0,10.0,426.5,300.0,5161.0,6509.5
2021-08-18 08:00:00+02:00,2164.25,0.0,805.75,303.0,0.0,19.0,197.75,1288.25,35.5,3579.75,20.0,10.0,1187.0,300.0,5122.25,6851.0
2021-08-18 09:00:00+02:00,2182.5,0.0,799.75,321.75,0.0,19.0,251.5,1290.0,19.0,3494.0,20.0,10.0,2186.75,300.0,5061.5,7174.0
2021-08-18 10:00:00+02:00,2186.75,0.0,862.0,308.25,0.0,19.0,89.25,1302.75,46.0,3514.25,20.0,10.0,3124.0,300.0,4871.75,7764.0
2021-08-18 11:00:00+02:00,2189.75,0.0,857.0,321.25,0.0,19.0,2.5,1317.5,16.25,3474.75,20.0,10.0,4043.0,300.0,4495.75,8383.75
2021-08-18 12:00:00+02:00,2185.75,0.0,847.0,326.75,0.0,19.0,2.0,1325.25,18.5,3471.75,20.0,10.0,4657.0,340.0,4191.5,8819.5
2021-08-18 13:00:00+02:00,2190.75,0.0,835.0,319.5,0.0,19.0,-72.5,1324.25,68.0,3513.75,20.0,10.0,5192.0,342.0,3964.0,9252.75
2021-08-18 14:00:00+02:00,2198.75,0.0,816.5,294.25,0.0,19.0,-158.75,1337.0,86.75,3552.75,20.0,10.0,5188.0,341.0,4068.5,9480.5
2021-08-18 15:00:00+02:00,2193.5,0.0,683.0,283.75,0.0,19.0,-188.75,1342.5,92.0,3710.0,20.0,10.0,4607.0,341.0,3773.5,9433.5
2021-08-18 16:00:00+02:00,2187.25,0.0,684.5,279.25,0.0,19.0,44.0,1320.0,90.25,3792.25,20.0,10.0,3905.25,339.0,4339.25,9193.25
2021-08-18 17:00:00+02:00,2185.25,0.0,679.5,276.25,0.0,19.0,58.75,1317.0,89.0,3797.75,20.0,10.0,3003.0,338.0,4816.25,8711.75
2021-08-18 18:00:00+02:00,2182.25,0.0,709.0,273.25,0.0,19.0,324.5,1314.75,87.25,3855.25,20.0,10.0,1783.25,339.0,4767.25,7880.75
2021-08-18 19:00:00+02:00,2187.5,0.0,732.0,276.25,0.0,19.0,9.0,1310.25,85.75,3886.5,20.0,10.0,574.5,342.0,4757.0,7587.75
2021-08-18 20:00:00+02:00,2192.5,0.0,732.0,277.25,0.0,19.0,-149.25,1307.25,91.75,3949.25,20.0,10.0,30.25,346.0,4741.75,7620.25
2021-08-18 21:00:00+02:00,2193.5,0.0,697.25,279.25,0.0,19.0,52.0,1305.75,79.5,3968.0,20.0,10.0,0.0,347.0,4542.5,8057.5
2021-08-18 22:00:00+02:00,2191.0,0.0,537.0,276.25,0.0,19.0,-173.75,1305.0,22.75,3964.25,20.0,10.0,0.0,346.0,4424.5,8324.75
2021-08-18 23:00:00+02:00,2189.25,0.0,498.75,264.75,0.0,19.0,-203.25,1300.5,23.25,3961.5,20.0,10.0,0.0,347.0,4340.75,8537.5
