,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-08-24 00:00:00+02:00,2209.5,0.0,448.5,1170.5,0.0,19.0,-370.0,1283.0,16.0,3988.75,20.0,10.0,0.0,367.0,1193.0,4133.75
2021-08-24 01:00:00+02:00,2198.25,0.0,435.0,955.0,0.0,19.0,-407.5,1287.25,18.25,3993.0,20.0,10.0,0.0,367.0,1080.25,3667.5
2021-08-24 02:00:00+02:00,2193.0,0.0,436.0,897.5,0.0,19.0,-404.25,1291.5,19.5,3998.5,20.0,10.0,0.0,367.0,948.75,3197.75
2021-08-24 03:00:00+02:00,2184.75,0.0,434.0,918.75,0.0,19.0,-409.25,1298.0,13.25,3997.0,20.0,10.0,0.0,367.0,754.25,2892.75
2021-08-24 04:00:00+02:00,2173.5,0.0,442.5,1085.5,0.0,19.0,-410.25,1309.0,21.75,3996.0,20.0,10.0,0.0,367.0,597.5,2850.5
2021-08-24 05:00:00+02:00,2161.25,0.0,581.5,1229.75,0.0,19.0,-83.0,1299.5,35.0,4004.25,20.0,10.0,0.0,369.0,480.25,2699.25
2021-08-24 06:00:00+02:00,2159.0,0.0,1033.0,1688.5,0.0,19.0,-22.5,1296.25,70.5,4009.5,20.0,10.0,77.5,368.0,351.75,2639.5
2021-08-24 07:00:00+02:00,2169.0,0.0,1127.5,2098.25,0.0,19.0,281.5,1297.5,79.25,4020.0,20.0,10.0,726.75,367.0,281.0,2222.75
2021-08-24 08:00:00+02:00,2189.25,0.0,1212.0,2132.5,17.75,19.0,507.5,1292.25,90.5,4018.5,20.0,10.0,2253.0,364.0,239.5,1485.75
2021-08-24 09:00:00+02:00,2205.25,0.0,1214.0,2147.25,0.0,19.0,461.75,1298.5,72.75,4018.25,20.0,10.0,4137.75,363.0,248.25,1040.0
2021-08-24 10:00:00+02:00,2217.0,0.0,1045.0,2174.5,0.0,19.0,147.25,1298.0,33.25,4024.5,20.0,10.0,5879.75,365.0,207.5,1103.5
2021-08-24 11:00:00+02:00,2225.25,0.0,692.25,2170.25,0.0,19.0,-83.0,1311.0,17.75,4011.75,20.0,10.0,6899.5,362.0,155.75,1219.0
2021-08-24 12:00:00+02:00,2220.0,0.0,665.0,2080.75,0.0,19.0,-208.25,1320.25,16.25,4004.75,20.0,10.0,7387.75,364.0,100.5,1356.25
2021-08-24 13:00:00+02:00,2209.0,0.0,664.75,1898.0,0.0,19.0,-286.5,1332.0,33.5,3793.0,20.0,10.0,7217.0,361.0,116.0,1545.75
2021-08-24 14:00:00+02:00,2204.0,0.0,675.75,1906.25,0.0,19.0,-361.25,1342.25,23.75,3657.5,20.0,10.0,6734.25,360.0,83.25,1719.0
2021-08-24 15:00:00+02:00,2194.5,0.0,662.0,2017.5,0.0,19.0,-260.0,1340.5,24.25,3766.75,20.0,10.0,6113.75,359.0,87.75,1776.25
2021-08-24 16:00:00+02:00,2191.0,0.0,676.0,2109.0,0.0,19.0,-203.0,1337.0,26.0,3999.0,20.0,10.0,5605.0,360.0,110.0,1833.0
