,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-08-04 00:00:00+02:00,2130.25,0.0,502.5,2049.25,0.0,19.0,64.0,1345.75,53.0,4036.0,20.0,10.0,0.0,348.0,13.5,1234.75
2021-08-04 01:00:00+02:00,2124.0,0.0,487.0,1846.5,0.0,19.0,-297.0,1346.75,25.0,4038.5,20.0,10.0,0.0,383.0,8.25,1247.25
2021-08-04 02:00:00+02:00,2118.5,0.0,488.0,1564.0,0.0,19.0,-606.5,1348.25,12.25,4034.75,20.0,10.0,0.0,383.0,7.5,1173.25
2021-08-04 03:00:00+02:00,2109.25,0.0,489.0,1324.75,0.0,19.0,-592.75,1351.0,25.75,4034.75,20.0,10.0,0.0,383.0,3.25,1063.5
2021-08-04 04:00:00+02:00,2096.25,0.0,488.0,1585.25,0.0,19.0,-584.5,1350.0,15.0,4037.0,20.0,10.0,0.0,385.0,7.75,912.0
2021-08-04 05:00:00+02:00,2091.0,0.0,700.25,1975.5,0.0,19.0,-442.75,1348.25,36.25,4037.5,20.0,10.0,10.0,300.0,3.5,923.75
2021-08-04 06:00:00+02:00,2090.0,0.0,1524.25,2527.25,0.0,19.0,-152.5,1346.5,43.0,4039.5,20.0,10.0,211.0,300.0,2.25,898.75
2021-08-04 07:00:00+02:00,2102.5,0.0,1923.5,2694.5,0.0,19.0,331.5,1339.25,56.5,4038.75,20.0,10.0,1072.5,300.0,2.5,749.75
2021-08-04 08:00:00+02:00,2121.25,0.0,1972.0,2690.5,0.0,19.0,595.25,1338.25,66.75,4041.75,20.0,10.0,2518.25,300.0,6.5,463.75
2021-08-04 09:00:00+02:00,2134.5,0.0,1972.5,2652.25,0.0,19.0,134.5,1335.0,43.25,4036.5,20.0,10.0,4225.75,300.0,15.25,294.0
2021-08-04 10:00:00+02:00,2137.25,0.0,1473.5,2505.5,0.0,19.0,-65.75,1330.25,27.5,4033.75,20.0,10.0,5677.25,300.0,8.75,239.25
2021-08-04 11:00:00+02:00,2140.5,0.0,1175.5,2501.25,0.0,19.0,230.25,1334.75,49.5,4033.5,20.0,10.0,6438.0,300.0,9.0,251.75
2021-08-04 12:00:00+02:00,2142.25,0.0,1159.0,2370.0,0.0,19.0,213.0,1341.25,70.0,4031.0,20.0,10.0,6682.5,300.0,12.5,302.25
2021-08-04 13:00:00+02:00,2142.25,0.0,1148.75,2142.5,0.0,19.0,5.75,1339.5,71.0,4025.25,20.0,10.0,6546.75,300.0,24.75,359.5
2021-08-04 14:00:00+02:00,2139.25,0.0,1153.25,2079.0,0.0,19.0,-181.5,1338.75,72.0,4024.5,20.0,10.0,6454.75,300.0,41.0,413.75
2021-08-04 15:00:00+02:00,2135.75,0.0,1152.5,2230.5,0.0,19.0,-84.25,1340.25,55.75,4024.5,20.0,10.0,5649.5,300.0,53.25,422.0
2021-08-04 16:00:00+02:00,2127.25,0.0,1293.5,2463.0,0.0,19.0,44.5,1341.0,58.25,4025.0,20.0,10.0,4509.5,376.0,74.0,459.5
2021-08-04 17:00:00+02:00,2125.25,0.0,1785.0,2635.0,0.0,19.0,98.75,1339.0,57.0,4020.75,20.0,10.0,3049.25,377.0,119.25,624.25
2021-08-04 18:00:00+02:00,2126.75,0.0,1991.5,2663.5,0.0,19.0,132.25,1340.5,53.75,3966.75,20.0,10.0,1766.25,377.0,278.5,887.5
2021-08-04 19:00:00+02:00,2136.25,0.0,2059.5,2667.75,0.0,19.0,494.25,1338.75,69.25,4016.75,20.0,10.0,758.5,380.0,387.25,951.75
2021-08-04 20:00:00+02:00,2142.5,0.0,1992.75,2652.5,0.0,19.0,536.0,1331.0,72.5,4020.5,20.0,10.0,155.75,383.0,443.0,854.25
2021-08-04 21:00:00+02:00,2140.0,0.0,2001.5,2628.5,0.0,19.0,455.25,1327.25,72.0,4027.0,20.0,10.0,2.75,384.0,467.5,991.5
2021-08-04 22:00:00+02:00,2134.5,0.0,1791.75,2485.5,0.0,19.0,502.0,1323.25,55.75,4029.75,20.0,10.0,0.0,383.0,460.75,947.25
2021-08-04 23:00:00+02:00,2141.0,0.0,955.0,2069.5,0.0,19.0,97.5,1314.75,6.0,4031.25,20.0,10.0,0.0,385.0,462.25,854.0
