,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-08-10 00:00:00+02:00,2150.0,0.0,534.0,391.75,0.0,19.0,-289.0,1256.0,7.5,4013.5,20.0,10.0,0.0,283.0,2006.75,4335.5
2021-08-10 01:00:00+02:00,2150.0,0.0,535.0,393.75,0.0,19.0,-364.25,1255.5,15.5,4018.25,20.0,10.0,0.0,283.0,1805.75,4404.0
2021-08-10 02:00:00+02:00,2141.5,0.0,536.0,392.0,0.0,19.0,-361.0,1255.0,10.75,4023.75,20.0,10.0,0.0,283.0,1776.0,4291.25
2021-08-10 03:00:00+02:00,2131.25,0.0,537.0,391.5,0.0,19.0,-330.5,1254.25,24.25,4034.5,20.0,10.0,0.0,283.0,1635.5,3978.0
2021-08-10 04:00:00+02:00,2118.5,0.0,447.0,531.25,0.0,19.0,-356.75,1250.5,26.75,4032.25,20.0,10.0,0.0,283.0,1346.0,3540.75
2021-08-10 05:00:00+02:00,2108.0,0.0,465.5,721.75,0.0,19.0,-269.5,1245.5,31.75,4030.5,20.0,10.0,2.0,285.0,1204.75,3272.0
2021-08-10 06:00:00+02:00,2100.0,0.0,629.0,996.5,0.0,19.0,175.0,1244.0,39.75,4027.75,20.0,10.0,224.5,284.0,953.25,3293.5
2021-08-10 07:00:00+02:00,2103.5,0.0,666.0,1178.75,0.0,19.0,438.5,1244.25,60.5,4039.0,20.0,10.0,1272.25,283.0,727.25,3315.25
2021-08-10 08:00:00+02:00,2125.75,0.0,667.0,1304.25,0.0,19.0,435.0,1253.0,56.5,4036.25,20.0,10.0,2905.0,281.0,753.0,3133.75
2021-08-10 09:00:00+02:00,2139.25,0.0,658.5,1354.5,0.0,19.0,65.5,1253.5,48.0,4025.75,20.0,10.0,5019.75,279.0,1110.5,2762.25
2021-08-10 10:00:00+02:00,2145.75,0.0,654.0,1321.25,0.0,19.0,291.5,1255.0,49.5,4025.0,20.0,10.0,7459.0,281.0,1125.25,2626.0
2021-08-10 11:00:00+02:00,2159.5,0.0,625.75,1473.25,0.0,19.0,-161.5,1256.25,39.75,4016.25,20.0,10.0,9490.0,278.0,1413.25,2917.5
2021-08-10 12:00:00+02:00,2161.25,0.0,623.0,1554.5,0.0,19.0,-209.75,1261.75,6.5,4009.75,20.0,10.0,10406.5,281.0,1423.0,3106.0
2021-08-10 13:00:00+02:00,2163.5,0.0,621.0,1244.75,0.0,19.0,-351.0,1263.25,21.75,4002.5,20.0,10.0,10301.75,277.0,1183.5,3252.5
2021-08-10 14:00:00+02:00,2161.75,0.0,621.0,1012.5,0.0,19.0,-404.0,1261.25,24.0,3998.25,20.0,10.0,9377.5,274.0,1064.5,3443.5
2021-08-10 15:00:00+02:00,2148.75,0.0,635.75,997.5,0.0,19.0,-352.25,1260.5,16.25,3995.25,20.0,10.0,8156.75,275.0,1007.5,3407.5
2021-08-10 16:00:00+02:00,2145.75,0.0,752.0,1104.0,0.0,19.0,-255.5,1265.5,36.5,3991.5,20.0,10.0,6883.0,276.0,1151.25,3164.25
2021-08-10 17:00:00+02:00,2135.25,0.0,919.0,1572.0,0.0,19.0,-114.75,1267.5,74.25,3988.0,20.0,10.0,4869.25,276.0,1195.25,2666.5
2021-08-10 18:00:00+02:00,2132.75,0.0,1336.5,1826.75,0.0,19.0,-134.5,1271.25,66.75,3994.0,20.0,10.0,2700.25,277.0,1017.5,2228.25
2021-08-10 19:00:00+02:00,2129.5,0.0,1461.5,2007.75,0.0,19.0,242.25,1274.75,73.0,3996.75,20.0,10.0,1040.0,278.0,799.25,1783.5
2021-08-10 20:00:00+02:00,2134.25,0.0,1485.5,2014.5,0.0,19.0,353.25,1274.5,58.75,4004.0,20.0,10.0,141.0,280.0,662.0,1376.75
2021-08-10 21:00:00+02:00,2132.25,0.0,1402.75,1997.75,0.0,19.0,413.0,1275.5,44.75,4004.5,20.0,10.0,0.5,282.0,505.5,1234.25
2021-08-10 22:00:00+02:00,2130.75,0.0,1367.0,1990.75,0.0,19.0,387.75,1276.5,70.25,4004.75,20.0,10.0,0.0,284.0,423.25,1328.25
2021-08-10 23:00:00+02:00,2127.25,0.0,1052.25,1842.75,0.0,19.0,89.75,1278.0,58.5,4009.0,20.0,10.0,0.0,283.0,482.5,1283.0
2021-08-11 00:00:00+02:00,2120.25,0.0,562.5,1816.25,0.0,19.0,27.0,1278.75,67.0,4012.75,20.0,10.0,0.0,343.0,470.5,1177.0
