,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-08-11 00:00:00+02:00,2120.25,0.0,562.5,1816.25,0.0,19.0,27.0,1278.75,67.0,4012.75,20.0,10.0,0.0,343.0,470.5,1177.0
2021-08-11 01:00:00+02:00,2120.5,0.0,529.0,1820.5,0.0,19.0,-163.75,1280.25,70.0,4016.25,20.0,10.0,0.0,343.0,531.75,1102.5
2021-08-11 02:00:00+02:00,2112.25,0.0,530.0,1779.5,0.0,19.0,-315.0,1281.5,57.5,4019.0,20.0,10.0,0.0,344.0,516.75,1023.25
2021-08-11 03:00:00+02:00,2100.25,0.0,531.0,1636.5,0.0,19.0,-376.25,1283.25,37.25,4025.0,20.0,10.0,0.0,344.0,494.0,987.0
2021-08-11 04:00:00+02:00,2089.5,0.0,532.0,1626.5,0.0,19.0,-368.25,1284.5,46.75,4006.5,20.0,10.0,0.0,344.0,415.25,987.5
2021-08-11 05:00:00+02:00,2086.75,0.0,531.0,1652.0,0.0,19.0,-201.5,1285.75,68.5,4031.75,20.0,10.0,0.75,346.0,320.0,971.75
2021-08-11 06:00:00+02:00,2086.75,0.0,610.5,1773.25,0.0,19.0,55.75,1285.0,53.25,4023.25,20.0,10.0,232.75,345.0,252.25,997.75
2021-08-11 07:00:00+02:00,2091.25,0.0,707.25,1640.25,0.0,19.0,203.25,1289.5,67.25,4039.5,20.0,10.0,1493.0,343.0,254.0,981.25
2021-08-11 08:00:00+02:00,2104.25,0.0,735.0,1295.5,0.0,19.0,243.5,1289.75,68.75,4036.5,20.0,10.0,3775.5,342.0,295.75,717.75
2021-08-11 09:00:00+02:00,2113.5,0.0,774.0,1165.75,0.0,19.0,205.0,1287.0,78.5,4028.5,20.0,10.0,6407.0,349.0,253.5,670.25
2021-08-11 10:00:00+02:00,2113.75,0.0,734.0,953.75,0.0,19.0,-9.0,1284.75,67.5,4021.5,20.0,10.0,8704.5,351.0,246.75,938.5
2021-08-11 11:00:00+02:00,2135.75,0.0,718.0,893.75,0.0,19.0,-200.0,1287.75,77.75,4015.5,20.0,10.0,10004.25,348.0,126.0,1060.0
2021-08-11 12:00:00+02:00,2143.25,0.0,713.0,888.75,0.0,19.0,-199.0,1290.25,70.5,4010.25,20.0,10.0,10380.25,350.0,104.5,1084.5
2021-08-11 13:00:00+02:00,2145.5,0.0,710.0,881.25,0.0,19.0,-370.5,1290.25,42.0,4008.75,20.0,10.0,10297.0,346.0,98.75,1307.25
2021-08-11 14:00:00+02:00,2142.0,0.0,704.25,860.75,0.0,19.0,-369.75,1291.25,33.75,4002.25,20.0,10.0,9927.0,344.0,128.0,1422.25
2021-08-11 15:00:00+02:00,2128.0,0.0,745.0,849.75,0.0,19.0,-366.25,1291.5,38.5,3998.75,20.0,10.0,9004.5,336.0,135.25,1366.75
2021-08-11 16:00:00+02:00,2126.25,0.0,831.25,886.0,0.0,19.0,-368.25,1289.5,50.0,3997.75,20.0,10.0,7497.0,337.0,128.25,1252.0
2021-08-11 17:00:00+02:00,2124.75,0.0,1336.75,1093.0,0.0,19.0,-243.75,1291.0,48.75,3995.0,20.0,10.0,5484.75,337.0,146.75,844.75
2021-08-11 18:00:00+02:00,2127.5,0.0,1835.0,1258.75,0.0,19.0,-25.25,1293.25,60.75,3992.0,20.0,10.0,3087.5,338.0,152.75,530.5
2021-08-11 19:00:00+02:00,2129.0,0.0,1993.0,1267.5,0.0,19.0,207.0,1294.5,70.25,3993.0,20.0,10.0,1112.0,339.0,184.25,268.75
2021-08-11 20:00:00+02:00,2134.75,0.0,1901.25,1266.75,0.0,19.0,276.5,1297.0,81.25,3993.25,20.0,10.0,134.5,341.0,206.0,150.5
2021-08-11 21:00:00+02:00,2138.25,0.0,1874.75,1272.25,0.0,19.0,495.25,1298.25,80.75,3997.75,20.0,10.0,0.25,343.0,296.75,119.0
2021-08-11 22:00:00+02:00,2136.5,0.0,1870.5,1272.75,0.0,19.0,426.25,1295.25,67.5,3999.75,20.0,10.0,0.0,345.0,417.75,144.5
2021-08-11 23:00:00+02:00,2135.25,0.0,1423.0,1194.5,0.0,19.0,123.5,1295.0,77.25,4003.5,20.0,10.0,0.0,344.0,433.25,221.75
