,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Offshore,Wind Onshore
2021-08-25 00:00:00+02:00,2199.75,0.0,488.0,1175.5,0.0,19.0,-197.25,1311.5,17.25,3979.5,20.0,10.0,0.0,368.0,203.25,1668.75
2021-08-25 01:00:00+02:00,2193.0,0.0,491.0,1084.75,0.0,19.0,-196.75,1314.75,18.0,4007.5,20.0,10.0,0.0,369.0,311.5,1341.25
2021-08-25 02:00:00+02:00,2183.25,0.0,492.25,1018.75,0.0,19.0,-271.25,1312.5,9.5,4004.75,20.0,10.0,0.0,368.0,533.0,1048.0
2021-08-25 03:00:00+02:00,2170.75,0.0,492.0,1022.25,0.0,19.0,-365.25,1307.5,6.75,4006.75,20.0,10.0,0.0,370.0,647.25,1012.0
2021-08-25 04:00:00+02:00,2156.25,0.0,510.5,1039.75,0.0,19.0,-300.25,1299.0,17.0,4014.0,20.0,10.0,0.0,370.0,832.75,1015.5
2021-08-25 05:00:00+02:00,2138.25,0.0,647.0,1269.25,0.0,19.0,-155.75,1296.0,27.75,4017.0,20.0,10.0,0.0,370.0,1177.0,1434.0
2021-08-25 06:00:00+02:00,2148.75,0.0,721.75,1451.0,0.0,19.0,-23.75,1290.75,44.25,4018.25,20.0,10.0,94.25,370.0,1804.75,1973.75
2021-08-25 07:00:00+02:00,2156.75,0.0,783.0,1533.25,0.0,19.0,88.0,1285.25,45.5,4016.75,20.0,10.0,1182.0,370.0,2305.5,2434.5
2021-08-25 08:00:00+02:00,2179.5,0.0,776.25,1530.5,0.0,19.0,257.5,1279.0,41.25,4012.25,20.0,10.0,3491.25,370.0,2212.75,2784.75
2021-08-25 09:00:00+02:00,2199.75,0.0,709.0,1434.5,0.0,19.0,419.75,1275.5,52.75,3945.0,20.0,10.0,6149.75,370.0,2828.5,3071.25
2021-08-25 10:00:00+02:00,2201.5,0.0,700.0,1099.75,0.0,19.0,384.75,1274.75,36.25,3714.0,20.0,10.0,8295.0,368.0,3096.75,3726.75
2021-08-25 11:00:00+02:00,2202.75,0.0,658.0,714.75,0.0,19.0,43.5,1276.75,11.75,3480.5,20.0,10.0,9584.0,369.0,3628.0,4730.0
2021-08-25 12:00:00+02:00,2203.5,0.0,654.25,670.25,0.0,19.0,-357.5,1286.75,7.25,3419.5,20.0,10.0,10066.0,367.0,4284.75,5708.5
2021-08-25 13:00:00+02:00,2203.75,0.0,609.75,666.0,0.0,19.0,-376.25,1284.75,7.0,3443.25,20.0,10.0,10256.75,367.0,4639.75,6655.5
2021-08-25 14:00:00+02:00,2192.25,0.0,617.0,636.75,0.0,19.0,-401.25,1284.0,5.75,3421.0,20.0,10.0,9940.75,366.0,5151.5,7682.75
2021-08-25 15:00:00+02:00,2182.5,0.0,607.0,623.25,0.0,19.0,-408.25,1281.0,12.25,3433.75,20.0,10.0,8672.5,369.0,5151.0,8609.75
2021-08-25 16:00:00+02:00,2171.5,0.0,599.0,613.0,0.0,19.0,-237.5,1276.0,26.5,3583.5,20.0,10.0,7302.0,370.0,4848.0,8828.0
