,0
2021-08-24 00:00:00+02:00,42883.0
2021-08-24 01:00:00+02:00,40192.0
2021-08-24 02:00:00+02:00,39237.0
2021-08-24 03:00:00+02:00,38984.0
2021-08-24 04:00:00+02:00,39755.0
2021-08-24 05:00:00+02:00,41027.0
2021-08-24 06:00:00+02:00,46588.0
2021-08-24 07:00:00+02:00,52369.0
2021-08-24 08:00:00+02:00,58295.0
2021-08-24 09:00:00+02:00,62832.0
2021-08-24 10:00:00+02:00,67312.0
2021-08-24 11:00:00+02:00,71313.0
2021-08-24 12:00:00+02:00,73032.0
2021-08-24 13:00:00+02:00,72602.0
2021-08-24 14:00:00+02:00,70083.0
2021-08-24 15:00:00+02:00,67250.0
2021-08-24 16:00:00+02:00,62578.0
2021-08-24 17:00:00+02:00,57953.0
2021-08-24 18:00:00+02:00,53355.0
2021-08-24 19:00:00+02:00,51245.0
2021-08-24 20:00:00+02:00,51212.0
2021-08-24 21:00:00+02:00,49873.0
2021-08-24 22:00:00+02:00,46779.0
2021-08-24 23:00:00+02:00,42547.0
