,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
2021-08-17 00:00:00+02:00,603.0,187.0,213.75,0.0,-371.25,583.25,82.25,1298.75,114.0,12.0,0.0,50.0,568.5
2021-08-17 01:00:00+02:00,603.0,187.0,206.25,0.0,-1007.0,583.75,86.25,1291.5,114.0,12.0,0.0,50.0,604.25
2021-08-17 02:00:00+02:00,603.0,187.0,200.75,0.0,-889.0,526.75,49.0,1015.75,114.0,12.0,0.0,50.0,521.25
2021-08-17 03:00:00+02:00,603.0,187.0,197.25,0.0,-1073.5,522.5,25.5,966.0,114.0,12.0,0.0,50.0,595.75
2021-08-17 04:00:00+02:00,603.0,187.0,196.0,0.0,-1015.0,547.25,91.75,1030.0,114.0,12.0,0.0,50.0,526.25
2021-08-17 05:00:00+02:00,603.0,187.0,212.75,0.0,-396.5,581.0,114.75,1259.5,114.0,12.0,0.0,50.0,498.75
2021-08-17 06:00:00+02:00,603.0,193.5,255.0,0.0,286.75,580.0,78.25,1295.75,114.0,12.0,34.5,50.0,463.25
2021-08-17 07:00:00+02:00,603.0,196.5,277.25,0.0,429.5,581.75,90.0,1297.75,114.0,12.0,437.25,50.0,430.75
2021-08-17 08:00:00+02:00,603.0,197.0,288.0,0.0,564.25,590.0,155.0,1298.5,114.0,12.0,1275.0,50.0,278.25
2021-08-17 09:00:00+02:00,603.0,197.0,283.25,0.0,812.75,590.5,158.5,393.25,114.0,12.0,2245.5,50.0,263.5
2021-08-17 10:00:00+02:00,603.0,196.75,317.0,0.0,597.0,592.25,171.0,0.0,114.0,12.0,2865.75,50.0,282.75
2021-08-17 11:00:00+02:00,603.0,197.0,356.75,0.0,-143.5,596.75,75.75,0.0,114.0,12.0,3034.0,50.0,292.5
2021-08-17 12:00:00+02:00,603.0,197.0,373.25,0.0,-697.25,599.0,118.25,0.0,114.0,12.0,3016.0,50.0,289.0
2021-08-17 13:00:00+02:00,603.0,197.0,391.25,0.0,-742.5,597.5,178.75,0.0,114.0,12.0,3436.25,50.0,310.5
2021-08-17 14:00:00+02:00,603.0,197.0,397.25,0.0,-621.0,601.5,186.5,0.0,114.0,12.0,3128.0,50.0,298.0
2021-08-17 15:00:00+02:00,603.0,197.0,427.75,0.0,-288.75,600.0,166.0,0.0,114.0,12.0,2262.75,50.0,261.5
2021-08-17 16:00:00+02:00,603.0,197.0,432.75,0.0,-172.75,598.5,216.0,65.75,114.0,12.0,1563.5,50.0,190.0
2021-08-17 17:00:00+02:00,603.0,197.0,424.5,0.0,-385.25,597.0,189.5,413.75,114.0,12.0,847.25,50.0,152.25
2021-08-17 18:00:00+02:00,603.0,197.0,422.75,0.0,-122.5,593.25,254.0,933.25,114.0,12.0,364.5,50.0,136.5
2021-08-17 19:00:00+02:00,603.0,197.0,422.75,0.0,466.75,592.0,154.25,1221.75,114.0,12.0,104.25,50.0,158.25
2021-08-17 20:00:00+02:00,603.0,197.0,408.5,0.0,801.25,590.5,210.75,1279.0,114.0,12.0,3.5,50.0,205.5
2021-08-17 21:00:00+02:00,603.0,197.0,397.75,0.0,183.5,588.0,171.75,1290.25,114.0,12.0,0.0,50.0,278.25
2021-08-17 22:00:00+02:00,603.0,197.0,347.5,0.0,-125.5,584.75,174.0,1297.5,114.0,12.0,0.0,50.0,226.75
2021-08-17 23:00:00+02:00,603.0,196.0,237.25,0.0,-350.5,584.75,99.25,1298.0,114.0,12.0,0.0,50.0,217.75
2021-08-18 00:00:00+02:00,603.0,187.0,217.0,0.0,-571.0,585.5,76.25,1300.25,114.0,12.0,0.0,50.0,285.75
