,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore
2021-08-10 00:00:00+02:00,603.0,194.75,221.5,0.0,-571.25,548.75,149.75,1291.5,114.0,12.0,0.0,50.0,47.5
2021-08-10 01:00:00+02:00,603.0,194.75,206.0,0.0,-549.5,549.5,148.75,1293.0,114.0,12.0,0.0,50.0,40.0
2021-08-10 02:00:00+02:00,603.0,194.75,206.5,0.0,-647.75,551.75,163.25,1294.75,114.0,12.0,0.0,50.0,31.5
2021-08-10 03:00:00+02:00,603.0,194.25,198.5,0.0,-656.25,553.25,142.75,1294.25,114.0,12.0,0.0,50.0,37.5
2021-08-10 04:00:00+02:00,603.0,194.25,205.5,0.0,-688.5,553.75,163.0,1293.75,114.0,12.0,0.0,50.0,39.5
2021-08-10 05:00:00+02:00,603.0,195.0,200.75,0.0,-479.0,554.25,233.75,1295.0,114.0,12.0,0.0,50.0,73.25
2021-08-10 06:00:00+02:00,603.0,194.0,235.75,0.0,76.5,552.75,139.5,1293.0,114.0,12.0,46.0,50.0,135.75
2021-08-10 07:00:00+02:00,603.0,194.0,297.75,0.0,886.25,550.5,237.0,1293.75,114.0,12.0,376.75,50.0,167.5
2021-08-10 08:00:00+02:00,603.0,194.0,315.0,0.0,949.25,550.5,265.75,1294.0,114.0,12.0,1019.25,50.0,137.5
2021-08-10 09:00:00+02:00,603.0,194.0,355.0,0.0,853.0,551.25,282.25,1295.0,114.0,12.0,1922.0,50.0,71.75
2021-08-10 10:00:00+02:00,603.0,194.0,435.5,0.0,707.75,552.5,335.5,1291.75,114.0,12.0,2731.75,50.0,47.5
2021-08-10 11:00:00+02:00,603.0,194.0,443.5,0.0,97.25,561.25,245.25,1291.0,114.0,12.0,3244.75,50.0,72.75
2021-08-10 12:00:00+02:00,603.0,194.0,374.25,0.0,-410.75,561.25,189.0,1288.75,114.0,12.0,3550.5,50.0,109.25
2021-08-10 13:00:00+02:00,603.0,194.0,381.75,0.0,-571.25,556.75,173.5,1288.75,114.0,12.0,3521.0,50.0,126.0
2021-08-10 14:00:00+02:00,603.0,194.0,410.0,0.0,-564.5,557.5,140.0,1289.75,114.0,12.0,3543.0,50.0,156.25
2021-08-10 15:00:00+02:00,603.0,194.5,410.75,0.0,-452.5,555.75,188.5,1290.25,114.0,12.0,3136.75,50.0,130.75
2021-08-10 16:00:00+02:00,603.0,202.5,416.5,0.0,148.75,552.25,256.25,1290.0,114.0,12.0,2711.0,50.0,107.25
2021-08-10 17:00:00+02:00,603.0,204.0,486.0,0.0,221.25,552.75,195.0,1289.25,114.0,12.0,2051.5,50.0,94.75
2021-08-10 18:00:00+02:00,603.0,204.75,593.75,0.0,422.0,548.75,182.25,1289.75,114.0,12.0,1167.5,50.0,96.0
2021-08-10 19:00:00+02:00,603.0,206.5,672.25,0.0,1111.5,545.25,194.25,1290.75,114.0,12.0,400.5,50.0,115.5
2021-08-10 20:00:00+02:00,603.0,208.5,626.0,0.0,1485.5,547.25,191.0,1291.75,114.0,12.0,46.25,50.0,125.0
2021-08-10 21:00:00+02:00,603.0,206.0,491.0,0.0,1390.5,547.5,227.75,1288.25,114.0,12.0,0.0,50.0,145.0
2021-08-10 22:00:00+02:00,603.0,204.5,543.0,0.0,1065.25,546.75,216.0,1286.25,114.0,12.0,0.0,50.0,233.5
2021-08-10 23:00:00+02:00,603.0,212.5,498.75,0.0,861.0,548.0,191.5,1286.5,114.0,12.0,0.0,50.0,165.5
2021-08-11 00:00:00+02:00,603.0,209.75,494.5,0.0,238.75,550.0,148.25,1287.5,114.0,12.0,0.0,50.0,69.75
